"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","A. Manninger","37","G","1170","13","13","0","0","16","0","0","0","0","0"
"30","M. Amsif","25","G","180","2","2","0","0","9","0","0","0","0","0"
"35","M. Hitz","27","G","1710","19","19","0","0","8","0","0","0","0","0"
"37","I. Gelios","22","G","0","0","0","0","0","1","0","0","0","0","0"
"2","P. Verhaegh","31","D","2513","30","29","1","4","1","3","4","6","0","0"
"3","R. Philp","25","D","380","8","4","4","2","20","0","1","1","0","0"
"4","D. Reinhardt","29","D","14","1","0","1","0","13","0","0","0","0","0"
"5","R. Klavan","29","D","2565","30","30","0","1","1","2","0","0","0","1"
"18","J. Callsen-Bracker","30","D","2909","33","33","0","3","0","1","0","6","0","0"
"19","M. Ostrzolek","24","D","2905","33","33","0","3","0","0","5","9","0","0"
"20","Jeong-Ho Hong","25","D","771","16","6","10","1","20","0","0","1","0","0"
"24","M. Parkhurst","30","D","0","0","0","0","0","1","0","0","0","0","0"
"29","M. Uhde","22","D","0","0","0","0","0","1","0","0","0","0","0"
"6","K. Vogt","23","M","1959","28","22","6","7","8","1","1","5","0","0"
"8","R. Holzhauser","21","M","590","13","7","6","7","12","0","1","0","0","0"
"10","D. Baier","30","M","3060","34","34","0","0","0","0","3","4","0","0"
"13","T. Werner","29","M","2105","31","25","6","17","7","9","6","4","0","0"
"14","J. Moravek","25","M","976","16","10","6","5","7","0","1","6","0","0"
"16","A. Ottl","29","M","0","0","0","0","0","1","0","0","0","0","0"
"17","M. de Jong","28","M","185","8","1","7","0","26","0","0","1","0","0"
"21","D. Kohr","20","M","411","8","5","3","3","10","0","0","3","0","0"
"28","A. Hahn","24","M","2735","32","30","2","3","2","12","8","10","0","0"
"39","E. Thommy","20","M","8","1","0","1","0","3","0","0","0","0","0"
"7","Halil Alt\u0131ntop","31","A","2715","34","34","0","20","0","10","3","1","0","0"
"9","A. Milik","20","A","609","18","5","13","6","20","2","0","1","0","0"
"11","A. Esswein","24","A","608","13","5","8","1","11","0","1","0","0","0"
"11","P. Vlachodimos","23","A","13","1","0","1","0","3","0","0","0","0","0"
"21","M. Fetsch","26","A","4","1","0","1","0","7","0","0","0","0","0"
"24","Dong-Won Ji","23","A","327","12","2","10","2","10","1","0","0","0","0"
"25","R. Bobadilla","27","A","833","17","9","8","8","9","3","0","2","0","0"
"33","S. Molders","29","A","1330","23","16","7","8","11","2","0","1","0","0"
