"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","B. Leno","22","G","3060","34","34","0","0","0","0","0","1","0","0"
"22","D. Yelldell","33","G","0","0","0","0","0","15","0","0","0","0","0"
"25","Palop","41","G","0","0","0","0","0","14","0","0","0","0","0"
"36","N. Lomb","21","G","0","0","0","0","0","5","0","0","0","0","0"
"2","K. Stafylidis","20","D","7","1","0","1","0","5","0","0","0","0","0"
"4","P. Wollscheid","25","D","1143","20","13","7","1","15","0","0","6","0","0"
"5","E. Spahic","34","D","2343","27","26","1","1","3","2","2","9","0","1"
"14","R. Hilbert","30","D","1292","16","15","1","5","14","1","1","2","0","0"
"17","S. Boenisch","27","D","2250","25","25","0","0","4","1","3","2","0","0"
"20","A. Guardado","28","D","268","4","3","1","1","9","0","0","2","0","0"
"21","O. Toprak","25","D","2449","28","27","1","1","4","1","1","5","0","0"
"26","G. Donati","24","D","1760","23","19","4","2","12","0","1","5","0","0"
"30","M. Cacutalua","19","D","0","0","0","0","0","5","0","0","0","0","0"
"3","S. Reinartz","25","M","1103","14","13","1","3","2","0","1","5","0","0"
"6","S. Rolfes","32","M","2189","31","22","9","1","12","4","4","1","0","0"
"8","L. Bender","25","M","2351","29","28","1","8","1","3","1","3","1","0"
"10","E. Can","20","M","2191","29","24","5","4","8","3","3","9","0","0"
"13","J. Hegeler","26","M","665","18","6","12","4","16","0","3","3","0","0"
"15","L. Oztunali","18","M","66","9","0","9","0","17","0","0","0","0","0"
"18","S. Sam","26","M","1387","22","16","6","13","6","8","7","2","0","0"
"23","R. Kruse","26","M","389","15","4","11","4","13","2","2","1","0","0"
"27","G. Castro","27","M","2559","30","30","0","11","1","5","9","7","0","0"
"31","D. Kohr","20","M","3","2","0","2","0","7","0","0","0","0","0"
"35","A. Bieler","22","M","0","0","0","0","0","1","0","0","0","0","0"
"37","M. Wagener","19","M","0","0","0","0","0","1","0","0","0","0","0"
"7","Heung-Min Son","22","A","2383","31","29","2","21","5","10","4","1","0","0"
"9","E. Derdiyok","26","A","517","18","4","14","2","23","1","1","2","0","0"
"11","S. Kie\u00dfling","30","A","2678","32","30","2","11","2","15","3","3","0","0"
"19","J. Brandt","18","A","586","12","6","6","5","8","2","2","1","0","0"
"24","Seung-Woo Ryu","20","A","11","2","0","2","0","8","0","0","0","0","0"
