"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","M. Neuer","28","G","2746","31","31","0","1","2","0","0","0","0","0"
"22","T. Starke","33","G","180","2","2","0","0","26","0","0","0","0","0"
"29","L. Zingerle","20","G","0","0","0","0","0","1","0","0","0","0","0"
"32","L. Raeder","20","G","134","2","1","1","0","4","0","1","0","0","0"
"33","R. Husic","18","G","0","0","0","0","0","1","0","0","0","0","0"
"4","Dante","31","D","2416","29","27","2","2","5","2","1","4","0","0"
"5","D. Van Buyten","36","D","923","12","10","2","0","17","1","0","3","0","0"
"13","Rafinha","29","D","2204","28","25","3","3","6","0","6","4","0","1"
"15","J. Kirchhoff","24","D","82","7","0","7","0","12","0","0","1","0","0"
"17","J. Boateng","26","D","2170","25","25","0","3","6","1","1","6","0","1"
"21","P. Lahm","30","D","2336","28","25","3","3","5","1","3","2","0","0"
"26","D. Contento","24","D","577","10","6","4","0","17","0","1","1","0","0"
"27","D. Alaba","22","D","2397","28","26","2","2","7","2","6","0","0","0"
"35","B. Schmitz","19","D","0","0","0","0","0","1","0","0","0","0","0"
"38","Y. Sallahi","20","D","51","1","1","0","1","2","0","0","0","0","0"
"6","Thiago Alc\u00e2ntara","23","M","999","16","11","5","3","8","2","4","1","0","0"
"7","F. Ribery","31","M","1637","22","18","4","5","4","10","10","2","0","0"
"8","Javi Martinez","26","M","1332","18","14","4","0","7","0","0","3","0","0"
"10","A. Robben","30","M","1686","28","20","8","12","9","11","6","0","0","0"
"11","X. Shaqiri","23","M","782","17","10","7","8","11","6","2","0","0","0"
"19","M. Gotze","22","M","1822","27","20","7","11","9","10","9","0","0","0"
"23","M. Weiser","20","M","138","3","2","1","1","7","0","0","1","0","0"
"31","B. Schweinsteiger","30","M","1831","23","22","1","8","3","4","4","4","0","0"
"34","P. Hojbjerg","19","M","280","7","2","5","0","13","0","1","0","0","0"
"36","A. Schopf","20","M","0","0","0","0","0","1","0","0","0","0","0"
"39","T. Kroos","24","M","2067","29","24","5","13","8","2","4","6","0","0"
"9","M. Mand\u017eukic","28","A","2016","30","21","9","9","11","18","4","5","0","0"
"14","C. Pizarro","36","A","683","17","6","11","2","21","10","2","0","0","0"
"25","T. Muller","25","A","2167","31","25","6","10","8","13","10","2","0","0"
"37","J. Green","19","A","0","0","0","0","0","1","0","0","0","0","0"
