"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","K. Trapp","24","G","3047","34","34","0","1","0","0","0","2","0","0"
"30","F. Wiedwald","24","G","13","1","0","1","0","33","0","0","0","0","0"
"32","A. Ozer","21","G","0","0","0","0","0","1","0","0","0","0","0"
"4","M. Russ","29","D","2499","29","28","1","3","2","3","2","7","0","0"
"5","C. Zambrano","25","D","2621","30","30","0","3","0","0","0","13","0","0"
"6","B. Oczipka","25","D","1385","20","15","5","3","9","0","1","2","0","0"
"15","C. Djakpa","28","D","1690","22","19","3","6","13","0","0","4","0","0"
"17","S. Schrock","28","D","681","12","7","5","3","20","0","0","2","0","0"
"20","S. Rode","24","D","1439","17","17","0","6","0","0","0","4","0","0"
"22","S. Celozzi","26","D","271","11","2","9","0","19","0","0","1","0","0"
"23","Anderson Bamba","26","D","1293","15","15","0","1","0","0","1","3","0","0"
"24","S. Jung","24","D","2692","30","30","0","1","0","0","7","4","0","0"
"36","M. Kempf","19","D","164","3","1","2","0","4","0","0","1","0","0"
"39","A. Madlung","32","D","1262","16","14","2","2","2","2","0","1","0","0"
"7","J. Rosenthal","28","M","847","18","7","11","2","17","2","0","1","0","0"
"8","T. Inui","26","M","833","14","10","4","8","18","0","0","0","0","0"
"13","M. Lanig","30","M","1046","15","12","3","3","14","1","0","4","1","0"
"14","A. Meier","31","M","1648","22","18","4","5","4","8","2","1","0","0"
"16","S. Aigner","27","M","2161","28","24","4","8","4","4","7","4","0","0"
"18","J. Flum","26","M","1956","26","23","3","9","3","3","2","10","1","0"
"19","M. Bakalorz","25","M","31","3","0","3","0","4","0","0","0","0","0"
"21","M. Stendera","18","M","67","5","1","4","1","8","0","0","0","0","0"
"25","T. Barnetta","29","M","1649","22","20","2","12","7","1","3","2","0","0"
"26","T. Weis","29","M","93","4","1","3","1","6","0","0","0","0","0"
"27","P. Schwegler","27","M","1152","17","14","3","4","4","0","0","7","0","0"
"28","S. Kittel","21","M","0","0","0","0","0","1","0","0","0","0","0"
"9","Joselu","24","A","1662","24","18","6","2","12","9","1","3","0","0"
"10","V. Kadlec","22","A","1344","21","14","7","9","18","5","3","1","0","0"
"11","S. Lakic","31","A","81","8","0","8","0","13","0","0","0","0","0"
"37","G. Waldschmidt","18","A","0","0","0","0","0","1","0","0","0","0","0"
