"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","J. Drobny","35","G","360","4","4","0","0","26","0","0","1","0","0"
"15","R. Adler","29","G","2700","30","30","0","0","0","0","0","0","0","0"
"30","S. Neuhaus","36","G","0","0","0","0","0","8","0","0","0","0","0"
"2","D. Diekmeier","25","D","1732","20","19","1","2","2","0","2","3","0","0"
"3","M. Mancienne","26","D","1080","12","12","0","0","9","0","0","1","0","0"
"4","H. Westermann","31","D","2613","30","30","0","2","0","3","2","4","0","0"
"5","J. Djourou","27","D","1894","22","22","0","2","3","0","0","1","0","0"
"7","M. Jansen","28","D","1772","21","20","1","2","2","1","3","1","0","0"
"16","L. Sobiech","23","D","694","10","7","3","1","23","1","0","1","0","0"
"24","S. Rajkovic","25","D","158","2","2","0","1","1","0","0","0","0","0"
"28","J. Tah","18","D","1274","16","14","2","0","13","0","0","0","0","0"
"6","D. Aogo","27","M","30","2","0","2","0","2","0","0","0","0","0"
"6","O. Bouy","21","M","209","3","3","0","2","10","0","0","1","0","0"
"8","T. Rinc\u00f3n","26","M","1480","22","17","5","7","8","0","0","5","1","0"
"9","H. \u00c7alhano\u011flu","20","M","2444","32","28","4","7","5","11","4","3","1","0"
"11","I. Ilicevic","27","M","1046","18","9","9","3","11","3","0","2","0","0"
"14","M. Badelj","25","M","2411","29","29","0","7","0","1","1","5","0","0"
"17","Z. Lam","23","M","556","9","7","2","3","7","1","0","1","0","0"
"18","T. Arslan","24","M","2475","32","27","5","8","5","1","3","10","0","0"
"19","P. Jiracek","28","M","1020","21","10","11","3","21","1","1","1","0","0"
"21","M. Beister","24","M","1220","16","14","2","8","2","5","5","5","0","0"
"23","R. van der Vaart","31","M","2189","27","26","1","10","1","7","6","4","0","0"
"25","P. Skjelbred","27","M","0","0","0","0","0","3","0","0","0","0","0"
"27","K. Demirbay","21","M","54","3","0","3","0","8","0","1","1","0","0"
"32","M. Steinmann","19","M","0","0","0","0","0","2","0","0","0","0","0"
"37","R. Tesche","27","M","357","9","3","6","1","13","0","0","1","0","0"
"44","G. Kacar","27","M","0","0","0","0","0","1","0","0","0","0","0"
"10","A. Rud\u0146evs","26","A","172","7","1","6","0","14","0","0","0","0","0"
"20","P. Lasogga","22","A","1488","20","18","2","6","3","13","1","1","0","0"
"25","O. John","22","A","407","8","3","5","2","11","0","0","0","0","0"
"31","J. Zoua","23","A","1658","27","18","9","4","14","2","0","4","0","0"
"33","M. Maggio","20","A","122","4","1","3","1","4","0","0","0","0","0"
"34","V. Nafiu","20","A","0","0","0","0","0","3","0","0","0","0","0"
