"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","R.  Zieler","25","G","3060","34","34","0","0","0","0","0","2","0","0"
"14","M. Miller","32","G","0","0","0","0","0","24","0","0","0","0","0"
"21","K. Fuhry","20","G","0","0","0","0","0","2","0","0","0","0","0"
"26","T. Schmidt","23","G","0","0","0","0","0","8","0","0","0","0","0"
"3","K. Haggui","30","D","104","3","1","2","0","3","0","0","0","0","0"
"4","H. Sakai","24","D","2264","26","26","0","3","5","1","0","7","0","0"
"5","S. Sane","24","D","1404","19","16","3","2","9","2","0","6","1","0"
"6","S. Cherundolo","35","D","81","2","1","1","1","5","0","0","0","0","0"
"18","S. Pocognoli","27","D","1521","19","17","2","3","8","0","0","4","0","0"
"19","C. Schulz","31","D","2150","27","24","3","2","7","1","0","3","0","0"
"20","Felipe","27","D","0","0","0","0","0","1","0","0","0","0","0"
"22","F. Rajtoral","28","D","630","7","7","0","0","9","0","0","0","0","0"
"23","C. Avevor","22","D","90","1","1","0","0","14","0","0","0","0","0"
"24","C. Pander","31","D","571","8","6","2","1","7","0","2","0","0","0"
"25","Marcelo","27","D","2120","24","24","0","1","5","0","0","5","0","1"
"2","L. Andreasen","31","M","2437","31","28","3","8","5","3","3","6","0","0"
"7","E. Prib","24","M","1776","31","17","14","8","15","2","3","5","0","0"
"8","M. Schmiedebach","25","M","1728","24","19","5","3","13","1","1","1","0","1"
"10","S. Huszti","31","M","2598","30","30","0","10","0","10","7","10","0","1"
"15","A. Hoffmann","21","M","1416","23","16","7","3","11","0","1","2","0","1"
"22","A. Nikci","24","M","0","0","0","0","0","1","0","0","0","0","0"
"28","L. Stindl","26","M","2657","31","31","0","4","0","3","3","6","0","0"
"32","L. Bittencourt","20","M","1820","31","20","11","16","13","4","5","6","0","0"
"9","A. Sobiech","24","A","1031","17","12","5","7","7","3","0","2","0","0"
"11","D. Ya Konan","30","A","753","16","9","7","6","7","3","1","0","0","0"
"13","J. Schlaudraff","31","A","619","21","4","17","2","27","1","0","2","0","0"
"16","A. Rud\u0146evs","26","A","1029","16","12","4","8","4","4","3","2","0","0"
"27","D. Kadah","28","A","80","3","0","3","0","9","0","0","1","0","0"
"34","T. Dier\u00dfen","18","A","4","2","0","2","0","5","0","0","0","0","0"
"38","V. Sulejmani","18","A","87","5","1","4","1","12","0","1","0","0","0"
"39","M. Diouf","26","A","1468","19","18","1","7","1","8","3","3","1","0"
