"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"13","J. Grahl","26","G","990","11","11","0","0","20","0","0","1","0","0"
"28","A. Stolz","31","G","17","1","0","1","0","11","0","0","0","0","0"
"30","K. Casteels","22","G","2053","23","23","0","1","3","0","0","0","0","0"
"2","A. Beck","27","D","2958","33","33","0","2","0","1","3","5","0","0"
"4","S. Thesker","23","D","110","2","1","1","0","11","0","0","1","0","0"
"16","F. Johnson","26","D","2068","27","23","4","5","7","0","3","0","0","0"
"19","D. Abraham","28","D","1724","20","20","0","2","5","2","0","3","0","0"
"21","K. Akpoguma","19","D","0","0","0","0","0","1","0","0","0","0","0"
"25","N. Sule","19","D","1874","25","20","5","0","13","4","0","2","0","0"
"29","J. Vestergaard","22","D","1847","25","19","6","0","15","1","1","3","0","0"
"33","R. Szarka","23","D","47","2","1","1","1","2","0","0","0","0","0"
"36","J. Toljan","20","D","578","10","6","4","1","21","0","0","0","0","0"
"6","S. Rudy","24","M","2242","27","26","1","11","5","2","5","6","0","0"
"8","E. Polanski","28","M","2687","32","32","0","9","0","3","2","9","0","0"
"10","Roberto Firmino","23","M","2916","33","33","0","3","0","16","11","5","0","0"
"11","J. Hamad","24","M","183","7","1","6","0","16","0","0","0","0","0"
"12","T. Strobl","24","M","1861","29","19","10","5","14","1","1","4","0","0"
"22","Bruno Nazario","19","M","17","2","0","2","0","6","0","0","0","0","0"
"23","S. Salihovic","30","M","1821","28","22","6","12","7","11","5","3","0","1"
"32","V. Grifo","21","M","0","0","0","0","0","2","0","0","0","0","0"
"40","J. Gyau","22","M","50","2","0","2","0","5","0","0","0","0","0"
"9","S. Schipplock","25","A","868","23","7","16","6","17","6","4","5","0","0"
"14","T. Elyounoussi","26","A","1040","21","13","8","9","17","0","3","5","0","0"
"27","A. Modeste","26","A","1627","29","20","9","14","11","12","2","3","0","1"
"31","K. Volland","22","A","2878","33","32","1","7","1","11","5","4","0","0"
"34","K. Karaman","20","A","34","5","0","5","0","7","0","0","0","0","0"
"38","K. Herdling","30","A","1084","23","12","11","11","21","2","2","4","0","0"
