"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","C. Mathenia","22","G","0","0","0","0","0","5","0","0","0","0","0"
"15","D. Kresic","30","G","0","0","0","0","0","17","0","0","0","0","0"
"21","L. Karius","21","G","2070","23","23","0","0","0","0","0","0","0","0"
"29","C. Wetklo","34","G","132","2","1","1","0","12","0","0","0","0","1"
"33","H. Muller","36","G","856","10","10","0","1","0","0","0","1","0","0"
"2","B. Svensson","35","D","763","12","10","2","5","12","0","1","2","0","0"
"3","Z. Posp\u011bch","35","D","3016","34","34","0","1","0","0","6","4","0","0"
"4","N. Noveski","35","D","2836","32","32","0","1","0","0","0","5","0","0"
"5","B. Saller","22","D","350","15","1","14","1","20","2","0","2","0","0"
"16","S. Bell","23","D","2272","27","25","2","1","4","0","2","5","0","0"
"20","J. Diaz","31","D","1478","20","15","5","3","14","0","1","3","0","0"
"22","J. Koch","23","D","161","3","2","1","2","4","0","0","1","0","0"
"24","Joo-Ho Park","27","D","2329","27","26","1","2","1","1","2","2","0","0"
"26","N. Bungert","28","D","500","10","5","5","1","15","1","0","0","0","1"
"30","M. Fathi","31","D","46","2","0","2","0","15","0","0","0","0","0"
"6","J. Geis","21","M","2796","33","31","2","3","3","1","6","4","0","0"
"7","N. Zimling","29","M","903","15","13","2","12","9","1","2","4","0","0"
"8","C. Moritz","24","M","1663","25","21","4","14","11","2","2","6","0","0"
"11","Y. Malli","22","M","1034","21","11","10","9","16","5","3","0","0","0"
"13","Ja-Cheol Koo","25","M","751","14","8","6","7","7","1","1","0","0","0"
"14","J. Baumgartlinger","26","M","492","9","6","3","2","3","0","1","0","0","0"
"17","C. Ede","27","M","0","0","0","0","0","2","0","0","0","0","0"
"19","E. Soto","34","M","1267","20","17","3","10","10","1","0","2","0","1"
"27","N. Muller","27","M","2003","26","22","4","4","4","9","4","6","0","0"
"28","T. Nedelev","21","M","15","2","0","2","0","2","0","0","0","0","0"
"9","S. Polter","23","A","577","13","6","7","3","9","0","1","2","0","0"
"10","E. Choupo-Moting","25","A","2032","32","19","13","7","14","10","3","1","0","0"
"18","D. Schahin","25","A","175","3","2","1","1","7","0","0","0","0","0"
"23","S. Okazaki","28","A","2715","33","31","2","9","3","15","1","2","0","0"
"31","S. Parker","21","A","381","11","3","8","3","16","1","0","0","0","0"
"35","P. Sli\u0161kovic","23","A","21","2","0","2","0","2","0","0","1","0","1"
