"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","R. Schafer","35","G","2926","33","33","0","1","0","0","0","3","0","0"
"22","P. Rakovsky","21","G","134","2","1","1","0","32","0","0","0","0","0"
"30","A. Stephan","28","G","0","0","0","0","0","1","0","0","0","0","0"
"32","B. Uphoff","21","G","0","0","0","0","0","1","0","0","0","0","0"
"2","E. Pogatetz","31","D","1937","23","21","2","1","7","1","0","7","1","0"
"3","P. Nilsson","32","D","1624","20","20","0","3","0","3","0","3","0","1"
"6","M. Angha","20","D","1045","14","11","3","3","12","0","0","4","0","0"
"20","Campana","21","D","591","10","5","5","2","7","1","1","3","0","0"
"21","M. Plattenhardt","22","D","2665","31","30","1","2","3","1","2","5","0","0"
"24","B. Dabanli","24","D","327","5","3","2","1","22","0","0","1","0","0"
"25","J. Pinola","31","D","1637","20","19","1","2","11","0","0","6","1","1"
"26","T. Chandler","24","D","1594","21","19","2","3","3","1","2","4","0","0"
"5","H. Balitsch","33","M","1055","14","11","3","2","7","0","0","1","0","0"
"7","M. Feulner","32","M","1759","25","20","5","5","7","2","3","5","0","0"
"10","T. Gebhart","25","M","139","6","2","4","3","4","0","0","1","0","0"
"13","H. Kiyotake","24","M","2616","33","32","1","14","2","3","7","2","0","0"
"14","R. Mak","23","M","794","19","9","10","9","19","0","1","1","0","0"
"15","M. Hasebe","30","M","1260","14","14","0","0","0","0","1","1","0","0"
"16","N. Stark","19","M","1298","21","15","6","6","9","0","0","6","0","0"
"17","M. Frantz","28","M","2146","31","24","7","9","8","1","1","5","0","0"
"23","A. Hlou\u0161ek","25","M","2280","28","27","1","8","2","3","2","5","0","0"
"31","O. Petrak","22","M","773","11","8","3","2","4","0","0","1","0","0"
"34","S. Gartner","21","M","0","0","0","0","0","7","0","0","0","0","0"
"36","S. Tekerci","21","M","28","1","0","1","0","2","0","0","1","0","0"
"38","M. Bihr","21","M","0","0","0","0","0","3","0","0","0","0","0"
"9","T. Pekhart","25","A","800","23","6","17","2","26","1","2","1","0","0"
"11","D. Ginczek","23","A","1080","17","12","5","7","5","3","1","3","0","0"
"18","J. Drmic","22","A","2661","33","30","3","8","4","17","2","2","0","0"
"33","A. Esswein","24","A","129","5","1","4","1","13","0","0","0","0","0"
"33","T. Pachonik","19","A","124","2","1","1","0","2","0","0","1","0","0"
"40","A. Colak","21","A","156","6","0","6","0","14","0","0","1","0","0"
