"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","R. Fahrmann","26","G","1980","22","22","0","0","8","0","0","0","0","0"
"34","T. Hildebrand","35","G","1080","12","12","0","0","20","0","0","0","0","0"
"36","L. Unnerstall","24","G","0","0","0","0","0","6","0","0","0","0","0"
"2","T. Hoogland","29","D","1352","19","15","4","3","16","0","0","2","0","0"
"3","J. Kirchhoff","24","D","33","2","0","2","0","2","0","0","0","0","0"
"4","B. Howedes","26","D","1510","19","18","1","0","1","1","0","1","1","1"
"5","Felipe Santana","28","D","1226","20","13","7","0","12","1","0","1","1","0"
"6","S. Kola\u0161inac","21","D","1851","24","21","3","5","7","0","3","5","0","0"
"14","K. Papadopoulos","22","D","80","4","1","3","0","10","0","0","0","0","1"
"20","M. Friedrich","18","D","0","0","0","0","0","2","0","0","0","0","0"
"22","A. Uchida","26","D","1521","17","17","0","1","0","0","3","5","0","0"
"23","C. Fuchs","28","D","837","16","9","7","5","8","0","2","2","1","0"
"24","K. Ayhan","19","D","877","14","9","5","2","18","1","0","3","0","0"
"26","D. Erdmann","23","D","0","0","0","0","0","4","0","0","0","0","0"
"31","P. Max","21","D","2","2","0","2","0","9","0","0","0","0","0"
"32","J. Matip","23","D","2790","31","31","0","0","3","3","1","4","0","0"
"35","M. Sobottka","20","D","0","0","0","0","0","4","0","0","0","0","0"
"7","M. Meyer","19","M","1818","30","21","9","16","12","6","3","3","0","0"
"8","L. Goretzka","19","M","1489","25","15","10","5","14","4","1","1","0","0"
"9","K. Boateng","27","M","2450","28","28","0","9","0","6","2","6","0","0"
"10","J. Draxler","21","M","2154","26","25","1","10","1","2","6","5","0","0"
"11","C. Clemens","23","M","509","11","6","5","5","7","0","0","0","0","0"
"12","M. Hoger","25","M","541","8","6","2","3","4","2","0","0","0","0"
"13","J. Jones","33","M","895","14","9","5","1","7","1","0","3","0","0"
"13","L. Sane","18","M","13","1","0","1","0","5","0","0","0","0","0"
"15","D. Aogo","27","M","889","10","10","0","1","0","0","3","1","0","0"
"17","J. Farfan","30","M","1521","19","17","2","5","3","9","5","2","0","0"
"19","C. Obasi","28","M","583","15","7","8","7","12","3","1","1","0","0"
"27","T. Barnetta","29","M","6","1","0","1","0","3","0","0","0","0","0"
"27","R. Leipertz","21","M","0","0","0","0","0","1","0","0","0","0","0"
"33","R. Neustadter","26","M","2590","32","31","1","7","3","2","5","4","0","0"
"40","A. Annan","28","M","29","3","0","3","0","12","0","0","0","0","0"
"20","T. Pukki","24","A","27","1","0","1","0","2","0","0","0","0","0"
"25","K. Huntelaar","31","A","1462","18","17","1","8","1","12","0","5","0","0"
"28","\u00c1. Szalai","26","A","1387","28","14","14","5","20","7","1","2","0","0"
"29","D. Avdijaj","18","A","0","0","0","0","0","1","0","0","0","0","0"
