"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","S. Ulreich","26","G","2790","31","31","0","0","0","0","0","3","0","0"
"22","T. Kirschbaum","27","G","270","3","3","0","0","24","0","0","0","0","0"
"31","O. Vlachodimos","20","G","0","0","0","0","0","7","0","0","0","0","0"
"36","K. Muller","23","G","0","0","0","0","0","3","0","0","0","0","0"
"2","G. Sakai","23","D","2331","28","26","2","3","7","0","2","4","0","0"
"3","D. Schwaab","26","D","2872","32","32","0","2","0","0","1","3","0","0"
"5","K. Haggui","30","D","274","6","3","3","0","23","1","0","0","0","0"
"5","S. Tas\u00e7\u0131","27","D","21","1","1","0","1","0","0","0","0","0","0"
"6","G. Niedermeier","28","D","1597","18","18","0","0","5","1","0","5","0","1"
"12","B. Rocker","24","D","90","1","1","0","0","5","0","0","1","0","0"
"15","A. Boka","31","D","1779","25","22","3","9","5","1","0","5","0","0"
"21","C. Molinaro","31","D","90","1","1","0","0","2","0","0","1","0","0"
"24","A. Rudiger","21","D","2694","30","30","0","0","0","2","0","2","0","1"
"27","T. Leibold","20","D","0","0","0","0","0","2","0","0","0","0","0"
"34","K. Rausch","24","D","1489","21","16","5","5","16","2","0","1","0","0"
"4","W. Kvist","29","M","936","12","11","1","3","1","0","0","3","0","0"
"8","M. Leitner","21","M","1484","21","17","4","7","9","1","2","5","1","0"
"10","D. Didavi","24","M","449","7","6","1","6","1","1","1","2","0","0"
"11","C. Gruezo","19","M","626","8","7","1","2","4","0","0","3","0","0"
"16","I. Traore","26","M","1865","31","20","11","10","13","2","6","2","0","1"
"20","C. Gentner","29","M","2520","28","28","0","0","0","4","3","1","0","0"
"23","S. Sararer","24","M","54","6","0","6","1","12","0","0","0","0","0"
"28","R. Khedira","20","M","526","9","6","3","4","12","0","0","3","0","0"
"35","T. Rathgeb","32","M","0","0","0","0","0","1","0","0","0","0","0"
"39","R. Yal\u00e7in","20","M","35","3","0","3","0","6","0","0","1","0","0"
"44","A. Maxim","24","M","1683","29","18","11","11","16","7","9","3","0","0"
"7","M. Harnik","27","A","2032","30","23","7","9","8","10","1","6","0","0"
"9","V. Ibi\u0161evic","30","A","2162","27","25","2","5","4","10","2","4","0","1"
"18","Cacau","33","A","710","21","6","15","6","19","1","1","2","0","0"
"19","T. Werner","18","A","1530","30","16","14","10","17","4","5","1","0","0"
"25","M. Abdellaoue","29","A","655","12","7","5","3","16","1","1","1","0","0"
