"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","S. Mielitz","25","G","1170","13","13","0","0","21","0","0","0","0","0"
"20","R. Wolf","26","G","1890","21","21","0","0","13","0","0","0","0","0"
"2","S. Garcia","26","D","1848","22","21","1","2","2","3","0","10","1","0"
"3","L. Caldirola","23","D","2965","33","33","0","1","0","0","1","8","0","0"
"4","M. Pavlovic","24","D","0","0","0","0","0","1","0","0","0","0","0"
"5","A. Lukimya","28","D","1611","23","18","5","1","15","0","0","3","0","0"
"13","L. Schmitz","26","D","95","3","0","3","0","10","0","0","1","0","0"
"15","S. Prodl","27","D","2304","27","26","1","1","2","2","1","4","0","0"
"19","T. Rehfeldt","21","D","0","0","0","0","0","3","0","0","0","0","0"
"23","T. Gebre Selassie","27","D","1892","29","18","11","0","16","2","1","2","0","0"
"25","L. Zander","19","D","0","0","0","0","0","3","0","0","0","0","0"
"26","F. Hartherz","21","D","0","0","0","0","0","2","0","0","0","0","0"
"6","C. Makiadi","30","M","2306","30","26","4","9","6","1","2","3","0","0"
"7","L. Obraniak","29","M","630","10","8","2","5","5","1","1","2","0","0"
"8","C. Fritz","33","M","1818","22","21","1","5","5","0","3","4","0","0"
"10","M. Ekici","24","M","577","11","7","4","6","16","1","0","4","0","0"
"11","E. Elia","27","M","2024","33","23","10","14","11","4","3","4","0","0"
"14","A. Hunt","28","M","2678","31","31","0","10","0","7","6","2","0","0"
"16","Z. Junuzovic","27","M","2286","26","26","0","4","0","2","2","5","0","0"
"17","A. Ignjovski","23","M","810","14","7","7","1","18","0","0","3","0","0"
"18","F. Kroos","23","M","1046","20","13","7","6","12","1","0","5","1","0"
"25","T. Trybull","21","M","4","2","0","2","0","6","0","0","0","0","0"
"28","L. Ay\u00e7i\u00e7ek","20","M","11","2","0","2","0","12","1","0","0","0","0"
"32","O. Yildirim","21","M","240","10","2","8","2","13","0","0","0","0","0"
"38","J. von Haacke","20","M","0","0","0","0","0","2","0","0","0","0","0"
"44","P. Bargfrede","25","M","1579","20","17","3","4","3","3","0","6","0","0"
"7","M. Arnautovic","25","A","88","2","1","1","1","3","0","0","0","0","0"
"9","F. Di Santo","25","A","1664","23","21","2","11","3","4","4","6","0","1"
"22","M. Lorenzen","19","A","2","2","0","2","0","2","0","0","0","0","0"
"24","N. Petersen","25","A","1618","28","19","9","9","11","7","2","2","0","0"
"26","D. Selke","19","A","127","3","1","2","1","4","0","0","0","0","0"
"33","M. Kobylanski","20","A","212","8","1","7","1","16","0","0","1","0","0"
"41","N. Fullkrug","21","A","0","0","0","0","0","2","0","0","0","0","0"
