"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","G. Ochoa","29","G","3330","37","37","0","0","0","0","0","1","0","0"
"16","O. Sissoko","27","G","90","1","1","0","0","32","0","0","0","0","0"
"30","A. Scribe","26","G","0","0","0","0","0","4","0","0","0","0","0"
"40","F. Sollacaro","20","G","0","0","0","0","0","2","0","0","0","0","0"
"2","C. Hengbart","34","D","1938","24","22","2","3","5","0","2","3","0","0"
"3","G. Perozo","28","D","2203","27","24","3","4","9","2","0","4","0","0"
"5","D. Tonucci","26","D","1551","20","17","3","4","4","0","0","5","0","0"
"6","R. Zubar","29","D","1254","15","15","0","2","0","1","0","3","0","0"
"12","\u0218. Popescu","21","D","191","6","2","4","1","7","0","0","1","0","0"
"15","C. Dielna","26","D","1679","22","18","4","3","11","0","1","3","0","0"
"17","L. Bonnart","34","D","1795","23","20","3","2","12","0","1","0","0","0"
"26","A. Crescenzi","23","D","810","9","9","0","0","4","0","0","2","0","0"
"34","M. Leca","20","D","371","6","4","2","1","5","0","0","1","0","0"
"34","C. Orengo","19","D","24","2","0","2","0","6","0","0","0","0","0"
"35","N. Ait Yahya","22","D","78","2","0","2","0","8","0","0","0","0","0"
"4","R. Faty","28","M","1675","20","19","1","3","1","2","3","6","0","0"
"7","B. Andre","24","M","3068","36","35","1","5","1","4","5","2","1","0"
"8","J. Pierazzi","29","M","973","15","11","4","2","7","0","0","3","1","0"
"11","S. Diarra","30","M","1615","25","17","8","6","9","1","3","4","0","0"
"14","M. Mostefa","31","M","2977","34","33","1","1","3","3","2","2","0","0"
"18","J. Cavalli","33","M","1350","19","18","1","10","2","1","6","5","0","0"
"19","P. Lasne","25","M","2823","34","32","2","11","2","3","3","6","0","0"
"21","S. Arrache","32","M","276","7","5","2","5","8","2","0","1","0","0"
"24","C. Gon\u00e7alves","20","M","1268","23","14","9","7","15","0","0","4","0","1"
"25","B. Deville","21","M","19","1","0","1","0","7","0","0","0","0","0"
"28","B. Pedretti","33","M","1042","14","13","1","6","2","1","2","1","0","0"
"33","J. Remiti","20","M","19","1","0","1","0","13","0","0","0","0","0"
"37","P. Mela","21","M","0","0","0","0","0","1","0","0","0","0","0"
"","V. Leca","19","M","0","0","0","0","0","0","0","0","0","0","0"
"9","Eduardo","34","A","691","9","7","2","1","3","3","0","0","0","0"
"10","A. Mutu","35","A","634","9","7","2","3","2","0","0","1","0","0"
"20","C. Belghazouani","28","A","374","8","4","4","2","8","0","0","3","0","0"
"22","G. Tallo","21","A","1618","23","19","4","11","4","7","1","3","0","0"
"27","Y. Yakovenko","21","A","8","2","0","2","0","4","0","0","0","0","0"
"29","D. Oliech","29","A","574","17","5","12","4","14","1","0","2","0","0"
"33","J. Nadeau","20","A","413","7","5","2","3","13","0","0","2","0","1"
"33","A. Camara","20","A","601","20","4","16","5","18","2","0","5","0","0"
"34","P. Moracchini","20","A","0","1","0","1","0","5","0","0","0","0","0"
"35","I. Baradji","19","A","151","5","1","4","1","6","3","0","0","0","0"
