"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","A. Jug","22","G","90","1","1","0","0","18","0","0","0","0","0"
"16","C. Carrasso","32","G","3190","36","36","0","1","0","0","0","0","0","0"
"30","K. Olimpa","26","G","140","2","1","1","0","20","0","0","0","0","0"
"40","J. Prior","19","G","0","0","0","0","0","1","0","0","0","0","0"
"2","V. Savic","24","D","22","2","0","2","0","5","0","0","0","0","0"
"3","Henrique","31","D","2740","31","31","0","2","0","2","0","10","0","0"
"5","J. Brechet","35","D","128","4","1","3","1","17","0","0","0","0","0"
"6","L. Sane","27","D","3240","36","36","0","0","0","0","0","4","0","0"
"21","M. Chalme","34","D","68","2","0","2","0","21","0","0","1","0","0"
"23","L. Orban","25","D","2324","27","27","0","2","3","0","1","4","1","0"
"25","Mariano","28","D","3302","38","38","0","4","0","0","2","3","0","0"
"27","M. Planus","32","D","1025","15","12","3","1","17","0","0","2","0","1"
"29","M. Poundje","22","D","676","13","8","5","0","17","0","0","2","0","3"
"33","T. Pellenard","20","D","270","3","3","0","0","8","0","0","1","0","0"
"4","L. Obraniak","29","M","1701","21","20","1","5","1","4","2","4","0","0"
"7","L. N'Guemo","28","M","1776","23","20","3","5","9","1","2","2","0","0"
"8","F. Ben Khalfallah","32","M","19","3","0","3","0","9","0","0","0","0","0"
"17","A. Biyogho Poko","21","M","1002","18","11","7","5","12","0","0","2","0","0"
"18","J. Pla\u0161il","32","M","347","4","4","0","1","0","0","0","0","0","0"
"19","N. Maurice-Belay","29","M","2548","34","30","4","11","4","3","3","4","0","0"
"22","J. Faubert","31","M","1140","22","12","10","5","11","3","0","2","0","0"
"24","A. Traore","26","M","1141","17","13","4","5","8","1","0","2","1","0"
"26","G. Sertic","25","M","2583","30","29","1","5","2","3","10","3","0","0"
"33","C. Badin","21","M","0","0","0","0","0","2","0","0","0","0","0"
"33","Y. Kaabouni","19","M","92","4","1","3","1","9","0","1","0","0","0"
"9","D. Rolan","21","A","1075","18","13","5","11","13","2","4","1","0","0"
"10","H. Saivet","24","A","2718","33","30","3","6","4","6","6","0","0","0"
"11","D. Bellion","31","A","27","3","0","3","0","13","0","0","0","0","0"
"12","H. Sacko","20","A","50","5","0","5","0","11","0","0","1","0","0"
"13","G. Hoarau","30","A","925","16","9","7","4","7","3","0","0","0","0"
"14","C. Diabate","26","A","1689","25","17","8","7","8","12","0","4","0","0"
"20","Jussi\u00ea","31","A","1339","22","15","7","12","7","9","1","2","0","0"
"33","E. Crivelli","19","A","12","2","0","2","0","2","0","0","0","0","0"
"34","T. Toure","20","A","22","2","0","2","0","2","0","0","0","0","0"
