"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"16","B. Laquait","37","G","1440","16","16","0","0","18","0","0","0","0","0"
"30","J. Hansen","29","G","1980","22","22","0","0","15","0","0","0","0","0"
"40","M. Salamone","22","G","0","0","0","0","0","5","0","0","0","0","0"
"2","K. Abdallah","27","D","891","11","10","1","0","1","0","1","1","1","0"
"17","A. Angoula","33","D","1718","20","19","1","1","17","1","0","6","0","0"
"18","D. Wass","25","D","3219","38","37","1","5","1","9","3","1","0","0"
"19","Y. Sabaly","21","D","3112","36","36","0","4","0","0","2","3","0","1"
"21","C. Mongongu","25","D","2915","34","33","1","3","4","4","1","3","0","0"
"25","J. Mensah","24","D","1828","26","21","5","3","10","1","0","3","1","0"
"26","B. Dja Djedje","23","D","1137","14","12","2","1","2","1","0","0","0","0"
"28","F. Ehret","35","D","449","8","6","2","5","9","1","0","1","0","1"
"2","M. Rabiu","24","M","90","1","1","0","0","0","0","0","0","0","0"
"4","E. Tie Bi","24","M","1600","20","20","0","7","3","0","0","4","0","0"
"6","D. Kone","28","M","1208","21","14","7","8","19","0","0","6","0","0"
"7","F. Bertoglio","24","M","510","14","4","10","3","23","0","0","4","0","0"
"10","N. Benezet","23","M","1727","29","18","11","9","15","3","2","3","0","0"
"11","I. Boccara","21","M","54","2","0","2","0","13","0","0","1","0","0"
"12","M. Blanc","22","M","55","1","1","0","1","6","0","0","0","0","0"
"14","C. Barbosa","38","M","1734","28","20","8","16","9","1","6","7","0","0"
"15","D. Nistor","26","M","124","6","1","5","1","12","0","0","0","0","0"
"22","C. Cambon","28","M","1530","25","14","11","2","22","1","0","6","1","0"
"24","O. Sorlin","35","M","3297","37","37","0","2","0","0","1","6","0","0"
"33","J. Boy","20","M","0","0","0","0","0","1","0","0","0","0","0"
"8","N. Baouia","22","A","15","2","0","2","0","3","0","0","0","0","0"
"9","K. Berigaud","26","A","2544","32","31","1","15","1","10","3","1","0","0"
"13","T\u00falio de Melo","29","A","287","5","4","1","3","2","0","0","0","0","0"
"20","M. Sougou","29","A","1955","29","21","8","6","8","4","4","7","0","0"
"23","A. Escobar","23","A","57","5","0","5","0","10","0","0","0","0","0"
"27","C. N'Sikulu","22","A","493","19","4","15","3","25","2","0","2","0","0"
"29","M. Ruben","28","A","1515","25","16","9","11","11","1","1","5","0","0"
"34","Z. Abarouai","20","A","25","1","0","1","0","1","0","0","0","0","0"
