"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","V. Enyeama","32","G","3420","38","38","0","0","0","0","0","1","0","0"
"16","S. Elana","34","G","0","0","0","0","0","38","0","0","0","0","0"
"13","A. Soumaoro","22","D","331","4","4","0","2","6","0","0","0","0","1"
"14","S. Kj\u00e6r","25","D","3035","34","34","0","1","1","0","0","9","0","0"
"15","D. Sidibe","22","D","1355","20","14","6","1","20","0","0","3","0","0"
"18","F. Beria","31","D","2244","26","26","0","1","0","0","0","6","2","0"
"21","J. Jeanvier","22","D","0","0","0","0","0","1","0","0","0","0","0"
"22","D. Rozehnal","34","D","1087","17","10","7","0","26","0","0","0","0","0"
"23","P. Souare","24","D","2880","33","33","0","5","2","3","0","7","1","0"
"25","M. Ba\u0161a","31","D","2789","32","32","0","2","0","2","3","2","0","0"
"33","C. Halucha","19","D","0","0","0","0","0","1","0","0","0","0","0"
"33","Y. Kone","19","D","17","2","0","2","0","3","0","0","0","0","0"
"4","F. Balmont","34","M","2852","35","34","1","13","1","0","7","7","0","1"
"5","I. Gueye","25","M","3330","37","37","0","0","0","1","0","6","0","0"
"6","J. Delaplace","28","M","839","18","7","11","1","30","1","1","1","0","0"
"10","M. Martin","26","M","1287","20","16","4","9","4","0","2","2","1","0"
"12","S. Meite","20","M","534","19","4","15","3","32","0","0","2","0","0"
"24","R. Mavuba","30","M","2761","33","32","1","6","1","1","2","4","0","0"
"33","J. Aholou","20","M","0","0","0","0","0","1","0","0","0","0","0"
"7","J. Ruiz","20","A","106","8","1","7","1","18","0","0","0","0","0"
"8","S. Kalou","29","A","3115","38","36","2","17","2","16","5","1","0","0"
"9","T\u00falio de Melo","29","A","15","5","0","5","0","14","0","0","0","0","0"
"11","Ryan Mendes","24","A","651","16","7","9","6","15","3","2","0","0","0"
"20","R. Rodelin","24","A","1171","30","12","18","10","22","2","1","0","0","0"
"26","N. Roux","26","A","2355","30","29","1","19","3","9","4","6","0","0"
"27","D. Origi","19","A","1277","30","12","18","10","25","5","0","1","0","0"
