"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","D. Suba\u0161ic","30","G","3150","35","35","0","0","0","0","0","2","0","0"
"16","S. Romero","27","G","226","3","2","1","0","32","0","0","0","0","0"
"30","F. Roma","40","G","44","1","1","0","1","3","0","0","0","0","0"
"40","M. Caillard","20","G","0","0","0","0","0","3","0","0","0","0","0"
"2","Fabinho","21","D","1910","26","21","5","3","13","0","0","3","0","0"
"3","L. Kurzawa","22","D","2405","28","28","0","3","0","5","3","3","0","0"
"4","Borja L\u00f3pez","20","D","20","1","0","1","0","1","0","0","0","0","0"
"5","A. Abdennour","25","D","540","6","6","0","0","2","0","0","2","0","0"
"6","Ricardo Carvalho","36","D","3330","37","37","0","0","0","0","2","8","0","0"
"20","N. Isimat-Mirin","22","D","479","6","5","1","0","24","0","0","1","0","0"
"21","U. Echiejile","26","D","450","5","5","0","0","0","0","0","2","0","0"
"22","E. Abidal","35","D","2311","26","26","0","1","4","0","0","6","0","0"
"24","A. Raggi","30","D","2031","28","22","6","5","15","1","2","3","0","0"
"31","A. Wolf","32","D","29","1","0","1","0","2","0","0","0","0","0"
"32","M. Tisserand","21","D","175","6","2","4","1","15","0","0","0","0","0"
"7","N. Dirar","28","M","317","11","2","9","1","14","1","2","0","0","0"
"8","Joao Moutinho","28","M","2563","31","30","1","6","4","1","8","3","0","0"
"10","J. Rodriguez","23","M","2639","34","30","4","13","5","9","12","1","0","0"
"11","L. Ocampos","20","M","1346","34","11","23","6","26","5","1","3","0","0"
"14","J. Poulsen","31","M","0","0","0","0","0","1","0","0","0","0","0"
"17","Y. Ferreira Carrasco","21","M","1166","18","14","4","9","10","3","3","2","0","0"
"19","M. Obbadi","31","M","2442","31","28","3","9","10","3","2","4","0","0"
"25","J. Pi","21","M","275","5","2","3","1","12","0","0","0","0","0"
"27","D. Ndinga","26","M","6","2","0","2","0","3","0","0","1","0","0"
"27","G. Kondogbia","21","M","1566","26","16","10","5","15","1","2","4","0","0"
"28","J. Toulalan","31","M","2501","29","29","0","3","0","1","1","6","0","0"
"9","R. Falcao","28","A","1392","17","16","1","4","1","9","0","5","0","0"
"15","D. Berbatov","33","A","766","12","9","3","6","4","6","4","1","0","0"
"18","V. Germain","24","A","1223","23","14","9","10","17","5","1","1","0","0"
"23","A. Martial","18","A","567","11","8","3","7","13","2","1","0","0","0"
"29","E. Rivi\u00e8re","24","A","1751","30","19","11","11","17","10","2","4","0","0"
