"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","L. Pionnier","32","G","420","5","4","1","0","34","0","0","0","0","0"
"16","G. Jourdren","28","G","2999","34","34","0","0","0","0","0","2","0","1"
"30","J. Ligali","23","G","0","0","0","0","0","4","0","0","0","0","0"
"2","G. Bocaly","26","D","226","3","3","0","1","6","0","0","1","0","0"
"3","D. Congre","29","D","2655","33","30","3","2","4","1","1","1","0","3"
"4","Hilton","37","D","2655","30","30","0","1","1","3","0","4","0","1"
"5","S. Tiene","32","D","2069","27","22","5","4","7","3","2","6","2","0"
"12","V. Di Stefano","21","D","0","0","0","0","0","3","0","0","0","0","0"
"17","T. Mezague","24","D","643","9","6","3","0","16","0","1","2","0","0"
"21","A. El Kaoutari","24","D","2543","30","28","2","3","6","0","0","2","1","1"
"25","M. Deplagne","23","D","1899","22","21","1","0","5","0","2","6","0","1"
"26","Y. Jebbour","23","D","766","14","10","4","3","12","0","0","1","1","1"
"32","N. Saint-Ruf","22","D","0","0","0","0","0","2","0","0","0","0","0"
"6","J. Marveaux","32","M","1969","27","25","2","11","4","1","0","6","0","1"
"8","J. Martin","24","M","939","20","9","11","3","26","0","1","2","0","0"
"10","R. Cabella","24","M","3206","37","36","1","4","1","14","5","2","0","0"
"14","B. Dabo","22","M","50","2","0","2","0","16","0","0","0","0","0"
"15","J. Tinhan","25","M","88","3","1","2","1","10","0","0","0","0","0"
"20","M. Sanson","20","M","2465","32","28","4","7","7","1","2","3","0","0"
"22","B. Stambouli","24","M","3330","37","37","0","0","0","2","1","5","0","0"
"23","J. Saihi","27","M","632","12","9","3","8","6","0","0","2","0","0"
"27","J. Assoumin","21","M","0","0","0","0","0","7","0","0","0","0","0"
"7","A. Mounier","27","A","1815","32","23","9","19","10","3","3","5","0","0"
"9","M. Niang","19","A","1386","19","17","2","11","2","4","2","1","0","0"
"11","E. Herrera","27","A","230","9","2","7","2","12","0","0","1","0","0"
"18","K. Ait-Fana","25","A","110","4","1","3","1","7","1","0","1","0","0"
"19","S. Camara","31","A","1884","33","18","15","8","16","4","2","4","0","0"
"24","J. Deza","21","A","372","12","2","10","2","22","1","1","1","0","0"
"28","D. Bakar","25","A","569","13","7","6","7","6","1","1","1","1","0"
"29","V. Montano","30","A","1420","27","15","12","10","13","4","1","5","0","0"
"33","S. Mounie","20","A","0","0","0","0","0","1","0","0","0","0","0"
