"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","R. Riou","27","G","3060","34","34","0","0","0","0","0","1","0","0"
"16","E. Zelazny","23","G","0","0","0","0","0","26","0","0","0","0","0"
"30","M. Dupe","21","G","360","4","4","0","0","12","0","0","1","0","0"
"3","P. Djilobodji","25","D","2426","28","28","0","1","1","3","1","6","1","1"
"4","O. Vizcarrondo","30","D","3113","36","35","1","2","1","1","1","5","0","0"
"5","O. Veigneau","29","D","2179","27","24","3","1","7","0","1","3","0","0"
"6","G. Cichero","30","D","387","5","4","1","0","10","0","0","1","0","0"
"22","I. Cissokho","29","D","3150","35","35","0","1","1","0","4","3","0","0"
"24","C. Alhadhur","22","D","1241","15","14","1","2","21","0","2","2","0","0"
"26","K. Djidji","21","D","769","10","9","1","1","12","1","0","2","0","0"
"33","L. Dubois","20","D","0","0","0","0","0","2","0","0","0","0","0"
"6","R. Gomis","30","M","517","9","5","4","3","6","0","0","1","0","0"
"7","F. Pancrate","34","M","151","13","0","13","0","20","0","0","0","0","0"
"8","V. Bessat","28","M","1891","30","24","6","20","7","1","1","0","0","0"
"12","Birama Toure","22","M","2224","31","25","6","6","13","0","0","5","0","0"
"14","G. N'Koudou","19","M","112","6","1","5","1","10","0","0","0","0","0"
"15","B. Nicoli\u0163\u0103","29","M","1050","17","12","5","7","8","1","4","5","0","0"
"18","L. Deaux","25","M","3010","36","34","2","7","2","1","1","2","0","0"
"19","A. Bedoya","27","M","2201","31","23","8","11","10","5","0","4","0","0"
"20","A. Trebel","23","M","307","12","3","9","2","16","0","0","0","0","0"
"21","J. Audel","30","M","494","11","6","5","6","9","1","1","2","0","0"
"23","Y. Eudeline","32","M","119","2","2","0","2","1","0","0","0","0","0"
"25","J. Veretout","21","M","1954","27","23","4","9","10","1","5","3","1","0"
"33","A. Toure","20","M","23","1","0","1","0","6","0","0","0","0","0"
"","A. Oudrhiri","21","M","0","0","0","0","0","1","0","0","0","0","0"
"9","F. \u0110or\u0111evic","27","A","2274","27","27","0","8","0","10","4","3","0","1"
"10","F. Aristeguieta","22","A","644","22","4","18","2","24","2","0","3","0","0"
"11","I. Bangoura","29","A","432","13","2","11","1","18","1","0","1","0","0"
"13","S. Gakpe","27","A","2770","36","32","4","14","4","8","3","3","0","0"
"23","E. Shechter","27","A","614","11","7","4","5","6","0","0","1","0","0"
"33","A. N'Dongala","20","A","90","1","1","0","0","2","0","0","0","0","0"
