"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"16","B. Samba","20","G","67","1","0","1","0","38","0","0","0","0","0"
"30","S. Mandanda","29","G","3353","38","38","0","1","0","0","0","1","0","0"
"2","K. Abdallah","27","D","814","10","9","1","1","7","0","2","1","0","0"
"3","N. N'Koulou","24","D","3330","37","37","0","0","0","2","0","2","0","0"
"4","Lucas Mendes","24","D","1893","22","21","1","1","14","2","1","3","0","0"
"15","J. Morel","30","D","1662","20","20","0","6","5","0","1","3","0","0"
"19","L. Abergel","21","D","2","1","0","1","0","6","0","0","0","0","0"
"21","S. Diawara","35","D","1704","20","19","1","2","18","1","0","4","0","0"
"23","B. Mendy","20","D","1731","24","18","6","1","18","1","3","4","0","0"
"24","R. Fanni","32","D","1844","22","21","1","2","10","0","1","5","0","0"
"26","B. Dja Djedje","23","D","793","11","8","3","0","7","0","3","0","0","0"
"26","B. Tuiloma","19","D","0","0","0","0","0","5","0","0","0","0","0"
"7","B. Cheyrou","33","M","1781","26","20","6","7","15","2","0","4","0","0"
"13","M. Lemina","21","M","691","15","8","7","5","23","0","0","2","0","0"
"13","R. Abdullah","20","M","0","0","0","0","0","1","0","0","0","0","0"
"14","F. Kadir","30","M","7","1","0","1","0","3","0","0","0","0","0"
"14","F. Thauvin","21","M","2086","31","25","6","17","7","8","3","2","0","0"
"18","M. Amalfitano","29","M","28","2","0","2","0","3","0","0","0","0","0"
"20","A. Romao","30","M","3213","36","36","0","1","0","1","0","8","0","0"
"25","G. Imbula","22","M","1293","29","12","17","6","25","1","0","1","0","0"
"28","M. Valbuena","30","M","2533","34","30","4","18","4","3","7","2","0","0"
"33","M. Bangoura","20","M","0","0","0","0","0","5","0","0","0","0","0"
"9","A. Gignac","28","A","2723","35","30","5","3","5","16","3","4","0","0"
"10","A. Ayew","24","A","2122","25","24","1","2","1","6","2","6","0","0"
"11","J. Ayew","23","A","639","16","7","9","6","12","1","0","0","0","0"
"17","D. Payet","27","A","2517","36","30","6","21","6","8","6","6","0","0"
"29","S. Khalifa","28","A","794","28","5","23","2","25","1","1","2","0","0"
"33","A. Yousfi","20","A","0","0","0","0","0","1","0","0","0","0","0"
