"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","J. Malherbe","23","G","0","0","0","0","0","3","0","0","0","0","0"
"16","K. Agassa","36","G","3060","34","34","0","0","1","0","0","3","0","0"
"30","J. Placide","26","G","360","4","4","0","0","31","0","0","0","0","0"
"50","I. Gassama","19","G","0","0","0","0","0","3","0","0","0","0","0"
"2","M. Fofana","29","D","500","7","4","3","1","17","0","0","1","0","0"
"3","F. Signorino","33","D","2119","25","24","1","3","4","1","1","3","0","0"
"15","A. Turan","22","D","1022","15","10","5","2","13","0","1","3","1","0"
"22","M. Tacalfred","33","D","2996","34","34","0","1","0","0","0","4","0","0"
"23","A. Mandi","23","D","2920","33","33","0","1","1","0","3","2","0","1"
"25","A. Weber","27","D","2854","33","33","0","3","1","0","0","2","0","0"
"27","C. Glombard","25","D","577","8","8","0","3","9","2","0","1","0","0"
"28","A. Conte","20","D","716","9","8","1","1","6","0","1","0","0","0"
"4","G. Krychowiak","24","M","2825","35","33","2","7","2","4","1","9","0","0"
"6","A. Devaux","29","M","2754","35","30","5","6","6","2","1","5","0","1"
"8","P. Oniangue","26","M","2577","35","29","6","10","8","10","2","1","0","0"
"10","Q. Leite Pereira","22","M","0","0","0","0","0","2","0","0","0","0","0"
"17","M. Alb\u00e6k","24","M","1617","27","17","10","10","19","2","2","4","0","0"
"19","A. Peuget","23","M","26","2","0","2","0","9","0","1","0","0","0"
"21","Bocundji Ca","27","M","135","6","1","5","1","21","0","0","1","0","0"
"24","F. Ghisolfi","29","M","75","2","1","1","1","4","0","0","0","0","0"
"26","O. MFulu","22","M","0","0","0","0","0","1","0","0","0","0","0"
"29","B. Ouali","21","M","0","0","0","0","0","2","0","0","0","0","0"
"5","K. Ghilas","30","A","7","1","0","1","0","3","0","0","0","0","0"
"7","Odair Fortes","27","A","2545","35","28","7","9","7","4","4","2","0","0"
"9","E. Atar","27","A","911","22","11","11","10","22","2","1","0","0","0"
"11","Diego","26","A","310","7","3","4","2","4","1","0","0","0","0"
"12","N. de Preville","23","A","2064","32","24","8","14","12","5","2","9","0","0"
"14","G. Charbonnier","25","A","1398","30","15","15","9","18","5","3","4","0","0"
"18","G. Courtet","25","A","1224","27","12","15","6","23","0","2","2","0","0"
"20","F. Ayite","25","A","2015","32","22","10","12","12","5","4","2","0","0"
