"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","B. Costil","27","G","3420","38","38","0","0","0","0","0","1","0","0"
"16","A. Diallo","22","G","0","0","0","0","0","8","0","0","0","0","0"
"30","C. N'Diaye","29","G","0","0","0","0","0","30","0","0","0","0","0"
"2","K. Theophile Catherine","25","D","270","3","3","0","0","0","0","0","1","0","0"
"3","C. M'Bengue","26","D","2104","25","25","0","3","5","0","1","3","0","0"
"5","J. Kana-Biyik","25","D","1739","21","21","0","3","2","1","0","2","0","1"
"12","Y. Jebbour","23","D","180","2","2","0","0","0","0","1","0","0","0"
"22","S. Armand","34","D","2796","32","32","0","0","1","0","0","1","0","1"
"24","D. Foulquier","21","D","60","2","1","1","1","1","0","0","0","0","0"
"25","J. Boye","27","D","730","10","7","3","0","8","0","0","2","0","0"
"26","C. Hountondji","20","D","1389","18","14","4","1","12","1","0","0","0","0"
"27","Emerson Con\u00e7ei\u00e7ao","28","D","599","11","5","6","0","20","0","1","1","0","0"
"29","R. Danze","28","D","2998","35","34","1","2","1","0","0","3","0","0"
"31","S. Moreira","20","D","791","15","9","6","2","19","0","1","1","0","0"
"6","K. Grosicki","26","M","712","13","9","4","8","6","0","3","2","0","0"
"8","J. Feret","32","M","1037","16","11","5","6","12","0","0","0","0","0"
"10","F. Kadir","30","M","1890","28","21","7","10","8","6","3","1","0","0"
"10","S. Diallo","23","M","23","1","0","1","0","2","0","0","0","0","0"
"15","J. Makoun","31","M","2510","30","30","0","11","4","1","4","5","0","0"
"17","V. Pajot","24","M","1077","14","12","2","1","4","1","0","5","0","1"
"19","R. Alessandrini","25","M","1851","27","21","6","12","7","6","5","2","0","0"
"23","A. Konradsen","24","M","1820","24","21","3","5","10","1","1","2","0","0"
"25","Z. Allee","20","M","98","5","1","4","1","8","0","0","0","0","0"
"28","A. Doucoure","21","M","1170","20","12","8","5","9","6","5","2","0","0"
"32","A. Hunou","20","M","513","16","4","12","2","19","0","0","1","0","0"
"34","T. Bakayoko","20","M","1727","24","19","5","5","14","1","0","4","0","0"
"7","J. Pitroipa","28","A","1453","23","17","6","12","8","0","3","1","0","0"
"9","O. Toivonen","28","A","1234","15","14","1","4","2","7","1","3","0","0"
"9","M. Erdin\u00e7","27","A","335","4","4","0","2","0","1","0","0","0","0"
"11","Nelson Oliveira","23","A","1743","30","18","12","5","16","8","1","5","1","0"
"13","W. Said","19","A","159","6","2","4","2","8","0","0","0","0","0"
"18","F. Diarra","22","A","12","1","0","1","0","1","0","0","1","0","0"
"20","S. Romero","26","A","405","11","4","7","4","18","2","0","1","0","0"
"24","P. Ntep","22","A","650","10","7","3","5","3","5","0","0","0","0"
