"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","N. Penneteau","33","G","2520","28","28","0","0","10","0","0","2","0","0"
"16","Magno Novaes","31","G","900","10","10","0","0","27","0","0","1","0","0"
"30","P. Charruau","21","G","0","0","0","0","0","1","0","0","0","0","0"
"2","D. Ducourtioux","36","D","2419","31","27","4","7","8","1","1","11","0","0"
"3","A. Masuaku","21","D","2361","27","27","0","3","4","1","5","4","0","0"
"5","B. Angoua","27","D","1395","16","15","1","0","11","1","0","0","0","0"
"13","M. Traore","34","D","0","0","0","0","0","3","0","0","0","0","0"
"17","L. Nery","23","D","1383","19","15","4","2","15","0","1","2","0","0"
"18","K. Lala","23","D","1240","17","13","4","1","16","0","0","2","0","0"
"20","L. Rose","22","D","765","9","9","0","1","0","0","0","3","0","0"
"21","S. Ciss","25","D","1888","23","21","2","5","11","0","0","5","0","0"
"24","G. Bong","26","D","90","1","1","0","0","0","0","0","0","0","0"
"24","G. Kagelmacher","26","D","2753","31","31","0","1","2","0","1","1","0","0"
"25","R. Mater","34","D","1982","25","24","1","8","4","0","0","6","1","0"
"4","E. Enza-Yamissi","31","M","1911","26","23","3","8","9","1","0","7","0","0"
"6","T. Doumbia","25","M","3005","36","34","2","4","2","4","2","2","0","0"
"8","A. Chi\u021bu","23","M","126","7","1","6","0","13","0","0","0","0","0"
"10","M. Dossevi","26","M","1970","31","22","9","15","13","4","4","1","0","0"
"11","P. Camara","23","M","0","0","0","0","0","6","0","0","0","0","0"
"12","C. Medjani","29","M","1424","16","16","0","2","1","1","0","1","0","0"
"23","J. Saez","32","M","482","9","5","4","1","11","2","0","1","0","0"
"26","M. da Silva","22","M","1390","20","15","5","4","13","1","0","3","0","1"
"27","M. Melikson","30","M","2075","36","24","12","16","12","2","4","3","0","0"
"33","A. Kabore","20","M","0","0","0","0","0","4","0","0","0","0","0"
"33","D. Dussaut","19","M","0","0","0","0","0","1","0","0","0","0","0"
"33","L. Houri","18","M","0","0","0","0","0","8","0","0","0","0","0"
"9","J. Bahebeck","21","A","1122","19","11","8","2","12","2","1","2","0","0"
"14","O. N'Guette","20","A","616","10","6","4","2","9","0","0","1","0","0"
"19","A. Le Tallec","30","A","728","17","7","10","4","16","2","0","1","0","0"
"22","F. Massampu","22","A","35","5","0","5","0","9","0","0","1","0","0"
"28","G. Pujol","34","A","1642","27","17","10","5","12","4","1","1","0","0"
"29","A. Waris","23","A","1387","16","16","0","3","0","9","3","2","0","0"
