"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","W. Szczesny","24","G","3330","37","37","0","0","1","0","0","2","0","0"
"13","E. Viviano","28","G","0","0","0","0","0","2","0","0","0","0","0"
"21","L. Fabianski","29","G","90","1","1","0","0","35","0","0","0","0","0"
"3","B. Sagna","31","D","3060","35","34","1","1","1","1","2","6","0","0"
"4","P. Mertesacker","30","D","3150","35","35","0","0","0","2","0","3","0","0"
"5","T. Vermaelen","28","D","781","14","7","7","0","19","0","1","0","0","0"
"6","L. Koscielny","29","D","2742","32","32","0","3","0","2","0","2","1","0"
"17","Nacho Monreal","28","D","1180","23","13","10","4","18","0","1","2","0","0"
"25","C. Jenkinson","22","D","798","14","7","7","0","26","1","2","1","0","0"
"28","K. Gibbs","25","D","2054","28","24","4","3","6","0","1","2","0","1"
"40","Bellerin","19","D","0","0","0","0","0","0","0","0","0","0","0"
"45","I. Hayden","19","D","0","0","0","0","0","2","0","0","0","0","0"
"7","T. Rosicky","34","M","1573","27","17","10","12","15","2","1","7","0","0"
"8","Arteta","32","M","2407","31","27","4","3","5","2","0","3","0","1"
"10","J. Wilshere","22","M","1722","24","19","5","6","5","3","4","6","0","0"
"11","M. Ozil","26","M","2149","26","25","1","11","1","5","9","0","0","0"
"16","A. Ramsey","23","M","1764","23","20","3","6","3","10","8","3","0","0"
"19","Cazorla","29","M","2596","31","30","1","10","3","4","8","2","0","0"
"20","M. Flamini","30","M","1604","27","18","9","6","12","2","0","8","0","1"
"24","A. Diaby","28","M","16","1","0","1","0","2","0","0","0","0","0"
"26","E. Frimpong","22","M","0","0","0","0","0","3","0","0","0","0","0"
"29","K. Kallstrom","32","M","128","3","1","2","0","8","0","0","1","0","0"
"31","R. Miyaichi","21","M","17","1","0","1","0","6","0","0","0","0","0"
"58","G. Zelalem","17","M","0","0","0","0","0","3","0","0","0","0","0"
"9","L. Podolski","29","A","1170","20","14","6","9","10","8","2","0","0","0"
"12","O. Giroud","28","A","3083","36","36","0","16","1","16","8","4","0","0"
"14","T. Walcott","25","A","857","13","9","4","3","4","5","4","1","0","0"
"15","A. Oxlade-Chamberlain","21","A","524","14","6","8","4","10","2","2","0","0","0"
"22","Y. Sanogo","21","A","71","8","0","8","0","16","0","0","0","0","0"
"23","N. Bendtner","26","A","157","9","1","8","2","19","2","0","0","0","0"
"30","Chu-Young Park","29","A","0","0","0","0","0","2","0","0","0","0","0"
"37","C. Akpom","19","A","0","1","0","1","0","2","0","0","0","0","0"
"44","S. Gnabry","19","A","464","9","5","4","6","21","1","0","0","0","0"
