"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","B. Guzan","30","G","3420","38","38","0","0","0","0","1","1","0","0"
"13","J. Steer","22","G","0","0","0","0","0","38","0","0","0","0","0"
"2","N. Baker","23","D","2479","30","29","1","2","4","0","0","6","0","0"
"3","J. Bennett","24","D","244","5","3","2","3","10","0","0","2","0","0"
"4","R. Vlaar","29","D","2806","32","32","0","3","0","0","1","4","0","0"
"5","J. Okore","22","D","167","3","2","1","1","2","0","0","0","0","0"
"6","C. Clark","25","D","2202","27","23","4","2","13","0","0","8","0","0"
"14","Luna","23","D","1381","17","16","1","2","3","1","0","2","0","0"
"23","R. Bertrand","25","D","1391","16","16","0","5","0","0","0","3","0","0"
"32","J. Donacien","21","D","0","0","0","0","0","1","0","0","0","0","0"
"34","M. Lowton","25","D","1661","23","18","5","3","13","0","3","4","0","0"
"7","L. Bacuna","23","M","2596","35","28","7","3","9","5","1","6","0","0"
"8","K. El Ahmadi","29","M","2188","31","26","5","15","10","2","1","7","0","0"
"12","M. Albrighton","24","M","0","0","0","0","0","2","0","4","0","0","0"
"15","A. Westwood","24","M","3081","35","35","0","4","0","3","2","7","0","0"
"16","F. Delph","24","M","3003","34","33","1","0","1","3","2","7","0","0"
"17","C. Herd","25","M","171","2","2","0","1","5","0","0","2","0","0"
"18","Y. Sylla","23","M","547","11","5","6","2","31","0","0","1","0","0"
"22","G. Gardner","22","M","0","0","0","0","0","3","0","0","0","0","0"
"24","A. Tonev","24","M","595","17","6","11","5","24","0","0","0","0","0"
"36","D. Johnson","22","M","0","0","0","0","0","2","0","0","0","0","0"
"40","J. Grealish","19","M","0","0","0","0","0","0","0","0","0","0","0"
"9","N. Helenius","23","A","50","3","0","3","0","20","0","0","0","0","0"
"10","A. Weimann","23","A","2657","37","31","6","17","6","5","4","1","0","0"
"11","G. Agbonlahor","28","A","2445","30","29","1","7","1","4","5","7","0","0"
"20","C. Benteke","23","A","2127","26","24","2","4","2","10","2","4","0","0"
"21","J. Bowery","23","A","65","5","0","5","0","13","0","1","0","0","0"
"27","L. Kozak","25","A","780","14","8","6","5","8","4","0","1","0","0"
"29","G. Holt","33","A","376","10","3","7","1","14","1","0","1","0","0"
"37","C. Robinson","19","A","46","4","0","4","0","11","0","0","0","0","0"
