"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","P. Cech","32","G","3060","34","34","0","0","0","0","0","0","0","0"
"23","M. Schwarzer","42","G","360","4","4","0","0","33","0","0","0","0","0"
"40","Hilario","39","G","0","0","0","0","0","5","0","0","0","0","0"
"2","B. Ivanovic","30","D","3180","36","36","0","1","0","3","1","8","0","0"
"3","A. Cole","33","D","1386","17","15","2","2","17","0","2","1","0","0"
"4","David Luiz","27","D","1358","19","15","4","2","10","0","1","6","0","0"
"24","G. Cahill","28","D","2623","30","29","1","0","8","1","1","2","0","0"
"26","J. Terry","33","D","3060","34","34","0","0","0","3","1","3","0","0"
"27","N. Ake","19","D","11","1","0","1","0","2","0","0","0","0","0"
"28","Azpilicueta","25","D","2325","29","26","3","2","9","0","0","1","0","0"
"33","T. Kalas","21","D","180","2","2","0","0","7","0","0","0","0","0"
"34","R. Bertrand","25","D","64","1","1","0","1","1","0","0","0","0","0"
"5","M. Essien","31","M","147","5","2","3","1","13","0","0","2","0","0"
"7","Ramires","27","M","2609","30","29","1","3","2","1","2","8","0","1"
"8","F. Lampard","36","M","1706","26","20","6","8","14","5","3","4","0","0"
"11","Oscar","23","M","2140","33","24","9","16","10","8","2","4","0","0"
"12","J. Obi Mikel","27","M","1063","24","11","13","4","20","1","1","3","0","0"
"15","K. De Bruyne","23","M","132","3","2","1","2","7","0","1","1","0","0"
"15","Mohamed Salah","22","M","501","10","6","4","4","8","2","1","1","0","0"
"16","M. van Ginkel","21","M","12","2","0","2","0","4","0","0","0","0","0"
"17","E. Hazard","23","M","2896","35","32","3","11","3","14","7","2","0","0"
"21","N. Matic","26","M","1364","17","15","2","1","2","0","4","3","0","0"
"22","Willian","26","M","1679","25","18","7","9","12","4","1","4","1","0"
"49","J. Swift","19","M","1","1","0","1","0","1","0","0","0","0","0"
"","L. Baker","19","M","0","0","0","0","0","1","0","0","0","0","0"
"9","Fernando Torres","30","A","1572","28","16","12","9","14","5","4","4","1","0"
"10","Mata","26","A","832","13","11","2","9","10","0","2","0","0","0"
"14","A. Schurrle","23","A","1325","30","15","15","12","19","8","2","1","0","0"
"18","R. Lukaku","21","A","40","2","0","2","0","3","0","0","0","0","0"
"19","D. Ba","29","A","659","19","5","14","4","20","5","1","0","0","0"
"29","S. Eto'o","33","A","1304","21","16","5","12","11","9","2","1","0","0"
