"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Joel Robles","24","G","156","2","1","1","0","37","0","0","0","0","0"
"24","T. Howard","35","G","3263","37","37","0","0","0","0","1","4","0","1"
"46","M. Springthorpe","20","G","0","0","0","0","0","1","0","0","0","0","0"
"2","T. Hibbert","33","D","3","1","0","1","0","17","0","0","0","0","0"
"3","L. Baines","29","D","2840","32","32","0","2","0","5","4","6","0","0"
"5","J. Heitinga","30","D","21","1","0","1","0","18","0","0","0","0","0"
"6","P. Jagielka","32","D","2316","26","26","0","1","0","0","1","2","0","0"
"8","B. Oviedo","24","D","718","9","8","1","2","7","2","2","1","0","0"
"15","S. Distin","36","D","2926","33","33","0","1","1","0","0","3","0","0"
"23","S. Coleman","26","D","3229","36","36","0","1","1","6","2","3","0","0"
"26","J. Stones","20","D","1366","21","15","6","1","22","0","0","1","0","0"
"32","A. Alcaraz","32","D","494","6","5","1","0","12","0","0","0","0","0"
"36","T. Browning","20","D","0","0","0","0","0","0","0","0","0","0","0"
"","L. Garbutt","21","D","0","0","0","0","0","0","0","0","0","0","0"
"4","D. Gibson","27","M","27","1","0","1","0","1","0","0","0","0","0"
"7","A. McGeady","28","M","469","16","4","12","4","13","0","1","0","0","0"
"16","J. McCarthy","23","M","2854","34","31","3","2","3","1","3","5","0","0"
"18","G. Barry","33","M","2849","32","32","0","1","0","3","4","10","0","0"
"20","R. Barkley","20","M","2290","34","25","9","13","10","6","1","5","0","0"
"21","L. Osman","33","M","2173","38","27","11","19","11","3","3","4","0","0"
"22","S. Pienaar","32","M","1632","23","19","4","13","4","1","2","2","0","0"
"25","M. Fellaini","26","M","270","3","3","0","0","0","0","0","0","0","0"
"46","R. Ledson","17","M","0","0","0","0","0","2","0","0","0","0","0"
"7","N. Jelavic","29","A","380","9","5","4","5","14","0","1","0","0","0"
"9","A. Kone","30","A","81","5","0","5","0","6","0","0","0","0","0"
"10","Gerard Deulofeu","20","A","891","25","9","16","7","21","3","2","1","0","0"
"11","K. Mirallas","27","A","2334","32","28","4","17","7","8","8","6","0","0"
"14","S. Naismith","28","A","1409","31","13","18","5","24","5","2","1","0","0"
"17","R. Lukaku","21","A","2561","31","29","2","9","2","15","5","1","0","0"
"19","M. Gueye","24","A","0","0","0","0","0","3","0","0","0","0","0"
"27","A. Vellios","22","A","0","0","0","0","0","5","0","0","0","0","0"
"28","V. Anichebe","26","A","0","1","0","1","0","2","0","0","0","0","0"
"28","L. Traore","24","A","1","1","0","1","0","2","0","0","0","0","0"
"35","C. McAleny","22","A","0","0","0","0","0","1","0","0","0","0","0"
