"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","A. McGregor","32","G","2230","26","26","0","1","0","0","0","0","0","2"
"16","E. Jakupovic","30","G","0","0","0","0","0","3","0","0","0","0","0"
"22","S. Harper","39","G","1099","13","11","2","0","27","0","0","1","0","0"
"2","L. Rosenior","30","D","1988","29","22","7","7","15","1","2","5","0","0"
"3","M. Figueroa","31","D","2716","32","31","1","6","4","0","0","6","0","0"
"4","A. Bruce","30","D","1593","20","19","1","6","18","0","0","2","0","0"
"5","J. Chester","25","D","1869","24","22","2","3","3","1","0","0","0","0"
"6","C. Davies","29","D","3326","37","37","0","1","0","2","1","6","0","0"
"15","P. McShane","28","D","687","10","9","1","3","12","0","0","0","0","0"
"23","A. Faye","36","D","270","3","3","0","0","15","0","0","0","0","0"
"7","D. Meyler","25","M","2136","30","27","3","12","10","2","1","8","0","0"
"8","T. Huddlestone","27","M","3145","36","35","1","2","2","2","3","5","1","0"
"10","R. Koren","34","M","1130","22","10","12","6","24","2","0","1","0","0"
"14","J. Livermore","24","M","3055","36","34","2","2","2","3","4","6","0","0"
"24","S. Aluko","25","M","933","17","10","7","8","9","1","3","1","0","0"
"27","Ahmed El Mohamady","27","M","3329","38","38","0","5","0","2","2","3","0","0"
"29","S. Quinn","28","M","503","15","4","11","2","22","0","0","0","0","0"
"9","D. Graham","29","A","1002","18","12","6","8","7","1","1","1","0","0"
"11","R. Brady","22","A","892","16","11","5","8","6","3","1","2","0","0"
"12","M. Fryatt","28","A","0","0","0","0","0","0","0","0","0","0","0"
"17","G. Boyd","29","A","1198","29","9","20","5","26","2","1","2","0","0"
"18","N. Jelavic","29","A","1318","16","16","0","10","1","5","0","3","0","0"
"18","Gedo","31","A","29","2","0","2","0","6","0","0","0","0","0"
"20","Y. Sagbo","26","A","1499","28","16","12","7","20","2","1","2","0","1"
"21","S. Long","27","A","1209","15","15","0","6","1","4","1","0","0","0"
"21","A. McLean","31","A","6","1","0","1","0","1","0","0","0","0","0"
"33","N. Proschwitz","27","A","23","2","0","2","0","5","0","0","0","0","0"
