"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","De Gea","24","G","3330","37","37","0","0","1","0","0","1","0","0"
"13","A. Lindegaard","30","G","90","1","1","0","0","29","0","0","0","0","0"
"40","B. Amos","24","G","0","0","0","0","0","3","0","0","0","0","0"
"50","S. Johnstone","21","G","0","0","0","0","0","1","0","0","0","0","0"
"2","Rafael","24","D","1421","19","18","1","9","3","0","1","5","0","0"
"3","P. Evra","33","D","2884","33","33","0","4","2","1","3","2","0","0"
"4","P. Jones","22","D","2175","26","26","0","3","0","1","2","5","0","0"
"5","R. Ferdinand","36","D","1127","14","12","2","0","6","0","0","0","0","0"
"6","J. Evans","26","D","1378","17","17","0","3","3","0","0","0","0","0"
"12","C. Smalling","24","D","1938","25","21","4","2","9","1","0","2","0","0"
"15","N. Vidic","33","D","2084","25","23","2","1","4","0","0","6","1","1"
"22","Fabio","24","D","90","1","1","0","0","4","0","0","0","0","0"
"28","A. Buttner","25","D","497","8","5","3","0","11","0","0","2","0","0"
"38","M. Keane","21","D","0","0","0","0","0","0","0","0","0","0","0"
"8","Anderson","26","M","154","4","2","2","2","7","0","0","0","0","0"
"11","R. Giggs","40","M","503","12","6","6","5","14","0","1","3","0","0"
"16","M. Carrick","33","M","2411","29","26","3","1","3","1","0","5","0","0"
"17","Nani","27","M","560","11","7","4","6","11","0","0","0","0","0"
"18","A. Young","29","M","1030","20","13","7","8","18","2","1","4","0","0"
"23","T. Cleverley","25","M","1580","22","18","4","6","11","1","0","3","0","0"
"24","D. Fletcher","30","M","780","12","9","3","2","11","0","0","0","0","0"
"25","A. Valencia","29","M","1939","29","20","9","3","13","2","3","7","1","0"
"31","M. Fellaini","26","M","1105","16","12","4","5","9","0","1","2","0","0"
"34","T. Lawrence","20","M","0","0","0","0","0","0","0","0","0","0","0"
"44","A. Januzaj","19","M","1640","27","15","12","7","16","4","3","7","0","0"
"","J. Lingard","21","M","0","0","0","0","0","0","0","0","0","0","0"
"8","Mata","26","A","1229","15","14","1","6","2","6","3","0","0","0"
"10","W. Rooney","29","A","2449","29","27","2","4","2","17","9","8","0","0"
"14","J. Hernandez","26","A","840","24","6","18","3","26","4","3","2","0","0"
"19","D. Welbeck","23","A","1457","25","15","10","7","13","9","1","2","0","0"
"20","R. van Persie","31","A","1584","21","18","3","8","3","12","3","2","0","0"
"26","S. Kagawa","25","A","1170","18","14","4","9","16","0","3","0","0","0"
"29","W. Zaha","21","A","28","2","0","2","0","7","0","0","0","0","0"
"47","J. Wilson","18","A","64","1","1","0","1","1","2","0","0","0","0"
