"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","J. Ruddy","28","G","3420","38","38","0","0","0","0","0","2","0","0"
"13","M. Bunn","29","G","0","0","0","0","0","32","0","0","0","0","0"
"20","C. Nash","41","G","0","0","0","0","0","6","0","0","0","0","0"
"2","R. Martin","28","D","2615","31","29","2","0","8","0","0","2","0","0"
"3","S. Whittaker","30","D","1421","20","16","4","2","22","1","1","3","0","0"
"5","S. Bassong","28","D","2378","27","27","0","1","4","0","0","1","0","0"
"6","M. Turner","30","D","1944","22","22","0","1","2","0","0","7","0","0"
"18","Javier Garrido","29","D","516","6","6","0","1","12","0","0","2","0","0"
"23","Martin Olsson","26","D","2965","34","33","1","1","3","0","1","2","0","0"
"24","R. Bennett","24","D","1348","16","14","2","0","15","1","0","6","0","0"
"26","J. Yobo","34","D","720","8","8","0","0","0","0","0","0","0","0"
"4","B. Johnson","27","M","2461","32","28","4","5","9","3","1","6","0","1"
"7","R. Snodgrass","27","M","2571","30","29","1","4","1","6","2","6","0","0"
"8","J. Howson","26","M","2086","27","23","4","3","5","2","0","3","0","0"
"10","L. Fer","24","M","2465","29","28","1","4","3","3","1","6","1","0"
"12","A. Pilkington","26","M","832","15","10","5","8","9","1","1","2","0","0"
"14","W. Hoolahan","32","M","802","16","10","6","9","19","1","1","1","0","0"
"15","J. Gutierrez","31","M","197","4","2","2","2","5","0","0","0","0","0"
"17","E. Bennett","25","M","105","2","1","1","0","3","0","0","0","0","0"
"21","J. Butterfield","24","M","0","0","0","0","0","1","0","0","0","0","0"
"22","N. Redmond","20","M","2155","34","23","11","11","13","1","3","2","0","0"
"25","D. Fox","30","M","0","0","0","0","0","1","0","0","0","0","0"
"27","A. Tettey","28","M","1487","21","17","4","6","9","1","0","7","0","0"
"9","R. van Wolfswinkel","25","A","1392","25","16","9","11","12","1","1","1","0","0"
"11","G. Hooper","26","A","2021","32","22","10","12","13","6","2","0","0","0"
"16","J. Elmander","33","A","1489","29","16","13","14","16","1","4","3","0","0"
"19","L. Becchio","30","A","53","5","0","5","0","24","0","0","0","0","0"
"30","J. Loza","20","A","0","0","0","0","0","0","0","0","0","0","0"
"31","J. Murphy","19","A","130","9","0","9","0","17","0","0","1","0","0"
