"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Aranzubia","35","G","84","1","1","0","0","30","0","0","0","0","1"
"13","T. Courtois","22","G","3330","37","37","0","0","0","0","0","3","0","0"
"35","Y. Bounou","23","G","0","0","0","0","0","8","0","0","0","0","0"
"2","D. Godin","28","D","3060","34","34","0","0","1","4","0","11","0","0"
"3","Filipe Luis","29","D","2880","32","32","0","0","1","0","2","7","1","0"
"12","T. Alderweireld","25","D","906","12","10","2","0","24","1","0","0","0","0"
"17","Javi Manquillo","20","D","270","3","3","0","0","6","0","0","1","0","0"
"18","J. Gimenez","19","D","90","1","1","0","0","6","0","0","0","0","0"
"20","Juanfran","29","D","3150","35","35","0","0","1","0","5","6","0","1"
"22","E. Ins\u00faa","25","D","450","6","5","1","0","20","0","0","0","0","0"
"23","Miranda","30","D","2880","32","32","0","0","3","2","1","5","0","0"
"24","M. Demichelis","33","D","0","0","0","0","0","2","0","0","0","0","0"
"27","L. Hernandez","18","D","0","0","0","0","0","1","0","0","0","0","0"
"4","Mario Suarez","27","M","1362","17","16","1","3","10","0","0","6","0","0"
"5","Tiago","33","M","1898","23","21","2","2","7","2","1","8","0","0"
"6","Koke","22","M","2807","36","33","3","16","4","5","13","6","0","0"
"8","Ra\u00fal Garcia","28","M","1704","34","18","16","13","18","10","2","10","0","0"
"10","A. Turan","27","M","1924","30","22","8","15","8","3","4","8","0","0"
"11","C. Rodriguez","29","M","328","20","2","18","2","27","1","1","2","0","0"
"14","Gabi","31","M","3116","36","35","1","4","1","3","8","11","0","0"
"15","J. Guilavogui","24","M","1","1","0","1","0","11","0","0","0","0","0"
"16","\u00d3liver Torres","19","M","211","7","2","5","3","11","1","0","1","0","0"
"21","Diego","29","M","507","13","4","9","4","13","1","1","2","0","0"
"24","J. Sosa","29","M","450","15","4","11","5","15","0","5","0","0","0"
"37","Nana Asare","20","M","0","0","0","0","0","1","0","0","0","0","0"
"7","Adrian","26","A","715","22","4","18","4","24","1","3","0","0","0"
"9","David Villa","32","A","2416","36","32","4","25","5","13","4","3","0","0"
"19","Diego Costa","26","A","2960","35","34","1","8","1","27","3","7","0","0"
"21","Leo Baptistao","22","A","115","5","1","4","1","6","0","0","0","0","0"
"","Samuel Saiz","23","A","0","0","0","0","0","1","0","0","0","0","0"
