"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Victor Valdes","32","G","2273","26","26","0","1","0","0","0","2","0","0"
"13","Pinto","38","G","1147","13","12","1","0","24","0","0","1","0","0"
"25","Oier","25","G","0","0","0","0","0","14","0","0","0","0","0"
"2","Martin Montoya","23","D","1122","13","12","1","1","14","0","2","0","0","0"
"3","Pique","27","D","2311","26","26","0","2","1","2","0","5","0","0"
"5","Puyol","36","D","428","5","5","0","1","4","1","0","0","0","0"
"15","Bartra","23","D","1587","20","17","3","0","17","1","1","3","0","0"
"18","Jordi Alba","25","D","1195","15","14","1","1","5","0","2","6","1","0"
"21","Adriano Correia","30","D","2118","26","24","2","3","12","3","1","8","0","0"
"22","Dani Alves","31","D","2384","27","26","1","0","6","2","3","7","0","0"
"26","Sergi G\u00f3mez","22","D","0","0","0","0","0","1","0","0","0","0","0"
"4","F\u00e0bregas","27","M","2472","36","28","8","15","9","8","13","4","0","0"
"6","Xavi","34","M","2254","30","26","4","13","7","3","2","0","0","0"
"8","Iniesta","30","M","2481","35","27","8","9","8","3","6","0","0","0"
"12","J. dos Santos","24","M","16","3","0","3","0","6","0","0","0","0","0"
"14","J. Mascherano","30","M","2364","28","27","1","4","8","0","0","9","0","0"
"16","Busquets","26","M","2652","32","30","2","4","4","1","1","11","0","0"
"17","A. Song","27","M","1124","19","12","7","2","23","0","0","2","0","0"
"19","I. Afellay","28","M","3","1","0","1","0","8","0","0","0","0","0"
"24","Sergi Roberto","22","M","273","17","1","16","0","27","0","0","0","0","0"
"27","Patric","21","M","0","0","0","0","0","1","0","0","0","0","0"
"7","Pedro","27","A","2361","37","28","9","18","9","15","8","3","0","0"
"9","A. Sanchez","25","A","2382","34","27","7","14","9","19","11","3","0","0"
"10","L. Messi","27","A","2502","31","29","2","5","2","28","11","2","0","0"
"11","Neymar","22","A","1738","26","19","7","11","10","9","9","6","0","0"
"20","Tello","23","A","408","22","2","20","2","31","1","2","0","0","0"
"28","Adama Traore","18","A","7","1","0","1","0","2","0","0","0","0","0"
"29","J. Dongou","19","A","6","1","0","1","0","4","0","0","0","0","0"
