"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Moya","30","G","2310","26","26","0","1","0","0","0","1","0","0"
"13","Codina","32","G","660","9","7","2","0","31","0","0","1","0","0"
"25","J\u00falio Cesar","28","G","450","5","5","0","1","6","0","0","0","0","0"
"33","\u00d3liver Sanchez","24","G","0","0","0","0","0","1","0","0","0","0","0"
"2","Alexis","29","D","2490","29","27","2","1","4","0","0","15","1","0"
"3","Roberto Lago","29","D","1523","19","16","3","2","13","0","0","5","0","0"
"4","L. L\u00f3pez","25","D","2247","26","26","0","3","3","3","1","7","1","0"
"6","Lopo","34","D","133","3","1","2","0","8","0","0","0","0","0"
"12","\u00c1lvaro Arroyo","26","D","1447","17","16","1","3","10","1","0","5","0","0"
"15","Rafa","29","D","2332","29","26","3","3","9","0","1","9","0","0"
"18","Sergio Escudero","25","D","1484","19","18","1","4","6","2","2","11","1","0"
"20","Juan Valera","29","D","1822","22","21","1","1","8","0","0","7","1","0"
"28","Carlos Vigaray","20","D","90","1","1","0","0","2","0","0","0","0","0"
"29","David Fornies","23","D","0","0","0","0","0","1","0","0","0","0","0"
"5","M. Lacen","30","M","1262","21","13","8","6","21","0","2","5","0","0"
"7","Lafita","30","M","1913","29","22","7","8","9","7","1","6","0","1"
"8","Pablo Sarabia","22","M","1939","33","21","12","10","15","1","5","6","0","0"
"10","Gavilan","29","M","735","20","5","15","3","23","0","2","4","0","0"
"14","Pedro Le\u00f3n","27","M","2921","37","33","4","11","4","7","4","6","0","0"
"17","Diego Castro","32","M","2280","32","27","5","10","6","1","5","3","0","0"
"19","Sammir","27","M","270","8","3","5","3","9","0","0","0","0","0"
"21","Michel","28","M","934","15","11","4","6","15","0","0","5","1","0"
"22","Juan Rodriguez","32","M","1043","15","13","2","3","7","0","1","2","0","0"
"23","Borja","33","M","1964","28","24","4","9","9","0","2","9","1","0"
"24","Pedro Mosquera","26","M","1548","25","17","8","6","13","0","0","7","0","0"
"27","Javi Navas","23","M","0","0","0","0","0","2","0","0","0","0","0"
"9","C. Marica","29","A","1793","27","20","7","6","8","6","1","6","1","0"
"9","\u00c1lvaro Vazquez","23","A","27","1","0","1","0","2","0","0","0","0","0"
"11","Adrian Colunga","29","A","1474","27","16","11","9","16","4","1","4","0","0"
"19","N. Fedor","29","A","292","5","3","2","2","3","2","1","0","0","0"
"30","Ivi L\u00f3pez","20","A","21","1","0","1","0","2","0","0","0","0","0"
