"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","O. Karnezis","29","G","540","6","6","0","0","32","0","0","0","0","0"
"13","Roberto","35","G","2880","32","32","0","0","3","0","0","5","0","0"
"25","S. Dimitrievski","20","G","0","0","0","0","0","3","0","0","0","0","0"
"2","A. Nyom","26","D","2864","34","34","0","10","3","0","2","9","0","0"
"5","Mainz","31","D","1343","17","14","3","0","13","0","1","2","0","1"
"6","Tiago Ilori","21","D","810","9","9","0","0","0","0","1","2","0","0"
"15","P. Diakhate","30","D","1118","14","14","0","3","2","0","1","5","1","0"
"16","B. Angulo","25","D","2937","34","33","1","1","4","0","1","5","0","0"
"19","A. Coeff","22","D","771","13","8","5","1","21","0","0","1","0","0"
"22","D. Foulquier","21","D","1116","24","9","15","0","23","0","0","0","0","0"
"24","J. Murillo","22","D","2837","32","32","0","3","2","1","1","9","0","1"
"32","Fran Morante","22","D","0","0","0","0","0","3","0","0","0","0","0"
"33","S. Marreh","18","D","0","0","0","0","0","1","0","0","0","0","0"
"4","Fran Rico","27","M","2469","32","28","4","2","7","2","5","8","0","0"
"6","M. Campos","25","M","0","0","0","0","0","1","0","0","0","0","0"
"8","H. Yebda","30","M","599","10","8","2","5","6","1","0","5","0","0"
"10","Y. Brahimi","24","M","2790","35","33","2","13","2","3","2","7","1","0"
"11","Dani Benitez","27","M","331","9","4","5","5","10","0","1","1","0","1"
"12","D. Buonanotte","26","M","1040","24","9","15","6","24","0","1","6","0","0"
"14","Recio","23","M","2307","30","27","3","9","3","2","0","7","1","0"
"18","M. Iturra","30","M","2953","34","34","0","3","1","1","0","11","2","0"
"20","Piti","33","M","1849","26","20","6","11","6","5","1","5","0","0"
"23","M. Pereira","26","M","892","18","11","7","9","13","0","0","1","0","0"
"27","\u00c1lvaro Garcia","22","M","101","4","1","3","1","5","0","0","0","0","0"
"28","M. Fatau","21","M","495","9","6","3","3","18","0","0","1","0","0"
"29","R. Boateng","22","M","14","1","0","1","0","4","0","0","0","0","0"
"30","Adolfo Martinez","22","M","0","0","0","0","0","2","0","0","0","0","0"
"7","O. Ighalo","25","A","346","16","2","14","1","19","2","0","3","1","0"
"7","Carlos Aranda","34","A","0","0","0","0","0","1","0","0","0","0","0"
"9","Y. El-Arabi","27","A","2793","36","34","2","16","4","12","2","5","0","0"
"21","Riki","34","A","1142","27","10","17","8","22","2","0","5","0","0"
"31","W. Cuero","22","A","0","0","0","0","0","2","0","0","0","0","0"
"34","C. Bravo","21","A","61","2","0","2","0","4","0","0","0","0","0"
"36","S. Isaac","18","A","0","0","0","0","0","2","0","0","0","0","0"
