"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","C. Kameni","30","G","0","0","0","0","0","37","0","0","0","0","0"
"13","W. Caballero","33","G","3420","38","38","0","0","0","0","0","3","0","0"
"27","Aar\u00f3n Escandell","19","G","0","0","0","0","0","1","0","0","0","0","0"
"2","Jes\u00fas Gamez","29","D","2444","28","28","0","2","0","0","2","10","1","0"
"3","Weligton","35","D","1277","16","15","1","2","5","1","0","6","0","0"
"4","Flavio","23","D","1325","16","14","2","0","5","0","0","6","0","0"
"5","Antunes","27","D","3185","36","36","0","4","0","0","2","12","0","0"
"15","M. Angeleri","31","D","2228","26","25","1","2","7","0","1","9","2","0"
"18","Eliseu","31","D","1648","28","18","10","7","12","2","1","9","0","0"
"20","Casado","28","D","52","2","0","2","0","9","0","0","0","0","0"
"21","Sergio Sanchez","28","D","2330","27","26","1","0","2","0","1","12","1","0"
"23","R. Chen","20","D","180","2","2","0","0","11","0","0","1","0","0"
"32","\u00c1lex Portillo","21","D","0","0","0","0","0","1","0","0","0","0","0"
"6","Ignacio Camacho","24","M","2375","33","27","6","3","9","5","1","7","0","0"
"8","Portillo","24","M","1627","25","19","6","9","16","3","1","1","1","0"
"10","O. Iakovenko","27","M","367","9","3","6","2","12","1","0","4","0","0"
"10","B. Anderson","22","M","246","8","1","7","1","16","0","1","1","0","0"
"11","P. Perez","29","M","516","11","6","5","5","11","1","2","5","1","0"
"12","F. Tissone","28","M","2123","26","25","1","9","1","1","1","6","0","0"
"14","P. Morales","29","M","652","15","8","7","8","12","1","0","1","0","0"
"17","Duda","34","M","1749","24","20","4","7","10","2","6","10","0","2"
"19","B. Paw\u0142owski","21","M","250","8","1","7","1","15","1","0","1","0","0"
"30","Sergi Darder","20","M","2223","29","25","4","7","9","2","2","6","0","0"
"7","M. El Hamdaoui","30","A","541","13","6","7","5","10","3","1","0","0","0"
"9","R. Santa Cruz","33","A","2136","31","24","7","8","9","6","3","1","0","0"
"11","S. Fernandez","29","A","22","2","0","2","0","2","0","0","0","0","0"
"16","E. Rescaldani","22","A","146","6","1","5","1","12","0","0","0","0","0"
"23","N. Amrabat","27","A","1314","15","15","0","4","0","2","5","1","0","1"
"24","Samu","24","A","1585","27","20","7","16","9","4","2","4","0","0"
"26","Juanmi","21","A","985","22","9","13","5","19","4","0","4","0","0"
"28","F. Olinga","18","A","515","8","6","2","5","3","0","0","2","0","0"
