"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Asier Riesgo","31","G","119","2","1","1","0","37","0","0","0","0","0"
"13","Andres Fernandez","27","G","3300","37","37","0","0","0","0","0","2","0","1"
"26","Ander Cantero","19","G","0","0","0","0","0","1","0","0","0","0","0"
"2","Marc Bertran","32","D","2454","29","28","1","2","3","0","3","5","0","0"
"3","Joan Oriol","27","D","744","11","8","3","2","14","0","0","0","0","0"
"4","Miguel Flano","30","D","958","13","10","3","0","19","0","0","2","0","0"
"5","Lolo","30","D","1497","21","18","3","9","9","0","1","3","0","0"
"6","Echaide","26","D","0","0","0","0","0","2","0","0","0","0","0"
"12","Satr\u00fastegui","24","D","0","0","0","0","0","6","0","0","0","0","0"
"14","Alejandro Arribas","25","D","3197","36","36","0","1","0","1","0","10","1","0"
"15","Oier","28","D","1122","28","9","19","1","29","2","0","3","0","0"
"22","J. Loti\u00e8s","30","D","2637","30","30","0","2","6","0","0","5","0","1"
"24","Dami\u00e0","32","D","2827","34","32","2","3","4","0","1","10","0","1"
"8","De las Cuevas","28","M","1613","24","21","3","15","3","0","0","2","0","1"
"9","E. Armenteros","28","M","2248","29","27","2","11","2","4","3","5","0","0"
"10","Punal","39","M","1595","26","18","8","4","15","1","2","7","0","1"
"11","Sisi","28","M","604","9","7","2","5","2","0","0","1","0","0"
"16","Cejudo","30","M","2053","30","27","3","20","4","2","3","5","1","0"
"20","F. Silva","28","M","2541","31","29","2","4","4","0","1","11","1","0"
"21","Roberto Torres","25","M","2278","33","25","8","12","9","5","3","5","0","0"
"23","R. Loe","25","M","1193","19","14","5","4","17","0","1","4","0","0"
"30","Jorge G\u00f3mez","19","M","0","0","0","0","0","1","0","0","0","0","0"
"31","Jose Garcia","17","M","24","1","0","1","0","6","0","0","0","0","0"
"6","Nino","34","A","47","4","0","4","0","5","0","0","0","0","0"
"7","J. Acuna","26","A","525","16","3","13","1","17","3","0","2","0","0"
"17","A. N\u00fanez","26","A","246","6","2","4","2","12","0","0","0","0","0"
"17","Lobato","25","A","316","12","1","11","1","15","0","0","0","0","0"
"18","Manuel","26","A","216","12","0","12","0","22","0","0","1","0","0"
"19","Oriol Riera","28","A","3019","37","35","2","13","2","13","0","5","0","0"
