"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","S. Andersen","32","G","584","7","6","1","0","15","0","0","0","0","0"
"1","Adan","27","G","1524","17","17","0","1","0","0","0","1","0","0"
"13","G. Sara","27","G","1306","15","15","0","1","13","0","0","1","0","0"
"30","Javi Montoya","23","G","0","0","0","0","0","2","0","0","0","0","0"
"41","Pedro L\u00f3pez","19","G","6","1","0","1","0","8","0","0","0","0","0"
"2","Javi Chica","29","D","1944","25","22","3","3","9","2","0","8","1","0"
"3","Paulao","32","D","1650","20","20","0","2","3","0","0","3","1","0"
"4","Antonio Amaya","31","D","2027","24","22","2","1","4","1","1","10","1","0"
"11","Juanfran","26","D","2548","34","28","6","8","8","1","2","2","0","0"
"12","Didac Vila","25","D","916","12","11","1","2","6","0","1","2","0","0"
"15","D. Perquis","30","D","923","13","13","0","4","4","0","0","3","1","0"
"18","M. Steinhofer","28","D","160","3","2","1","1","4","0","0","0","0","0"
"23","Nacho","34","D","1306","16","15","1","1","8","0","0","2","0","0"
"25","Jordi Figueras","27","D","1999","25","20","5","0","12","1","0","5","0","0"
"36","Jose Caro","21","D","163","4","1","3","1","7","0","0","0","0","0"
"42","Francisco Varela","20","D","0","0","0","0","0","3","0","0","0","0","0"
"50","Jes\u00fas Pozo","19","D","0","0","0","0","0","3","0","0","0","0","0"
"75","Jose Carlos","18","D","0","0","0","0","0","2","0","0","0","0","0"
"5","Javier Matilla","26","M","1365","23","15","8","5","14","0","0","8","0","0"
"6","Xavi Torres","27","M","776","10","9","1","1","3","0","0","5","0","0"
"7","\u00c1lvaro Vadillo","20","M","1098","21","13","8","11","12","0","2","3","0","0"
"8","Nono","21","M","1291","22","14","8","5","9","0","1","9","1","0"
"10","Joan Verd\u00fa","31","M","1364","20","15","5","7","11","2","1","1","0","0"
"14","Salva Sevilla","30","M","1352","21","16","5","9","8","4","4","8","0","0"
"17","Juan Carlos","24","M","1400","20","18","2","9","8","0","2","4","0","1"
"18","A. N'Diaye","24","M","1412","16","16","0","1","0","0","1","5","0","0"
"20","N. Igiebor","23","M","651","12","6","6","1","9","1","0","3","0","0"
"21","L. Reyes","23","M","2020","26","23","3","8","7","1","0","7","1","0"
"22","C. Mabwati","22","M","1128","23","12","11","7","17","0","1","5","0","1"
"46","Dani Ceballos","18","M","9","1","0","1","0","5","0","0","0","0","0"
"6","Leo Baptistao","22","A","1023","17","13","4","11","5","1","1","3","0","0"
"9","Chuli","23","A","440","11","4","7","3","14","0","1","2","0","0"
"16","B. Rodriguez","28","A","423","12","4","8","1","15","1","1","3","1","0"
"19","Jorge Molina","32","A","2344","32","25","7","6","9","9","1","4","0","0"
"24","Ruben Castro","33","A","2017","25","22","3","3","4","10","1","4","0","0"
"37","Juanma Garcia","23","A","79","3","1","2","1","4","0","0","0","0","0"
"49","A. Cacabelos","18","A","34","1","0","1","0","1","0","0","0","0","0"
