"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Casillas","33","G","180","2","2","0","0","35","0","0","0","0","0"
"25","Diego L\u00f3pez","33","G","3240","36","36","0","0","1","0","0","0","0","0"
"35","Jes\u00fas Fernandez","26","G","0","0","0","0","0","2","0","0","0","0","0"
"2","R. Varane","21","D","1083","14","12","2","1","10","0","1","1","0","0"
"3","Pepe","31","D","2700","30","30","0","0","4","4","2","9","0","0"
"4","Sergio Ramos","28","D","2756","32","32","0","2","2","4","1","11","1","1"
"5","Fabio Coentrao","26","D","658","10","8","2","5","13","0","0","1","0","0"
"12","Marcelo","26","D","2175","28","24","4","3","5","1","6","3","0","0"
"15","Daniel Carvajal","22","D","2234","31","25","6","4","9","2","2","5","0","0"
"17","Arbeloa","31","D","1316","18","14","4","3","12","0","0","7","0","0"
"18","Nacho","24","D","812","12","8","4","0","20","0","1","2","0","0"
"38","Diego Llorente","21","D","17","1","0","1","0","5","0","0","0","0","0"
"6","S. Khedira","27","M","971","13","12","1","6","3","1","1","4","0","0"
"8","Kaka","32","M","0","0","0","0","0","2","0","0","0","0","0"
"10","M. Ozil","26","M","134","2","2","0","2","1","0","0","0","0","0"
"11","G. Bale","25","M","2070","27","24","3","7","4","15","12","3","0","0"
"14","Xabi Alonso","32","M","2023","26","23","3","5","4","0","1","5","0","0"
"16","Casemiro","22","M","275","12","1","11","1","21","0","1","0","0","0"
"19","L. Modric","29","M","2648","34","29","5","8","6","1","6","6","0","0"
"22","\u00c1. di Maria","26","M","2377","34","27","7","17","8","4","17","6","0","0"
"23","Isco","22","M","1994","32","23","9","13","15","8","6","1","0","0"
"24","Illarramendi","24","M","1388","29","15","14","8","20","2","1","3","0","0"
"26","Jose Rodriguez","19","M","0","0","0","0","0","1","0","0","0","0","0"
"27","Lucas Vazquez","23","M","0","0","0","0","0","2","0","0","0","0","0"
"28","Omar Mascarell","21","M","0","0","0","0","0","1","0","0","0","0","0"
"7","Cristiano Ronaldo","29","A","2540","30","30","0","3","0","31","9","4","0","1"
"9","K. Benzema","26","A","2771","35","34","1","21","2","17","9","2","0","0"
"20","Jese","21","A","591","18","4","14","2","21","5","4","0","0","0"
"21","\u00c1lvaro Morata","22","A","558","23","3","20","1","32","8","0","2","0","0"
"30","Burgui","21","A","0","0","0","0","0","1","0","0","0","0","0"
"39","Willian Jose","22","A","21","1","0","1","0","3","0","0","0","0","0"
"41","Ra\u00fal de Tomas","20","A","0","0","0","0","0","1","0","0","0","0","0"
