"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Jaime","33","G","900","10","10","0","0","27","0","0","1","0","0"
"13","Diego Marino","24","G","2520","28","28","0","0","10","0","0","2","0","0"
"36","Julio Iricibar","21","G","0","0","0","0","0","1","0","0","0","0","0"
"2","A. Rukavina","30","D","3060","34","34","0","0","3","1","1","6","0","0"
"3","H. Barmettler","27","D","90","1","1","0","0","9","0","0","0","0","0"
"4","Marc Valiente","27","D","2379","29","27","2","3","8","1","1","5","0","0"
"6","Jes\u00fas Rueda","27","D","2993","35","33","2","1","4","1","0","6","0","0"
"15","S. Mitrovic","24","D","1440","16","16","0","0","1","0","0","9","0","0"
"17","Pena","31","D","3325","37","37","0","1","0","1","4","5","0","0"
"21","Z. Bergdich","25","D","1525","22","19","3","9","18","0","1","6","0","1"
"24","G. Garcia","27","D","370","8","4","4","1","12","1","1","0","0","0"
"31","Jorge Pesca","22","D","0","0","0","0","0","1","0","0","0","0","0"
"5","F. Rossi","23","M","2254","31","25","6","7","8","1","3","10","0","0"
"8","Baraja","34","M","515","12","6","6","3","27","0","1","4","0","0"
"10","\u00d3scar","31","M","1626","22","17","5","3","7","1","4","2","0","0"
"11","D. Larsson","27","M","1663","28","21","7","19","9","3","1","1","0","0"
"14","Omar Ramos","26","M","1297","25","14","11","12","23","0","1","3","0","0"
"16","Lluis Sastre","28","M","937","14","10","4","3","10","0","0","6","0","0"
"18","\u00c1lvaro Rubio","35","M","2457","31","28","3","9","3","0","0","10","0","0"
"19","V. Rama","26","M","1016","26","9","17","5","19","1","1","3","0","0"
"20","P. Ebert","27","M","1000","13","13","0","5","0","3","5","7","1","0"
"22","Victor Perez","26","M","1139","19","13","6","7","7","1","0","3","0","0"
"34","Zubi","21","M","3","1","0","1","0","2","0","0","0","0","0"
"40","Dani Vadillo","21","M","0","0","0","0","0","2","0","0","0","0","0"
"41","Alberto Rodriguez","22","M","0","0","0","0","0","1","0","0","0","0","0"
"7","H. Osorio","26","A","523","16","3","13","2","24","4","0","0","0","0"
"9","Javi Guerra","32","A","3156","37","37","0","14","0","15","1","9","0","0"
"23","Manucho Gon\u00e7alves","31","A","894","26","8","18","5","23","3","2","4","0","0"
"24","Jeffren","26","A","477","11","5","6","5","7","0","1","0","0","0"
