"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Sergio Asenjo","25","G","3150","35","35","0","0","2","0","0","1","0","0"
"25","Juan Carlos","27","G","270","3","3","0","0","34","0","0","0","0","0"
"35","Aitor Fernandez","23","G","0","0","0","0","0","2","0","0","0","0","0"
"2","Mario Gaspar","23","D","3240","36","36","0","0","0","1","1","4","0","0"
"3","B. Jokic","28","D","1281","15","14","1","0","13","0","1","6","0","0"
"5","M. Musacchio","24","D","2843","32","32","0","1","1","1","2","4","0","0"
"6","A. Pantic","22","D","606","9","6","3","1","20","0","0","1","0","0"
"16","Chechu Dorado","32","D","1527","19","17","2","3","6","0","1","2","0","0"
"18","Jaume Costa","26","D","2457","30","26","4","0","8","1","1","12","0","0"
"20","Gabriel Paulista","23","D","1518","18","17","1","0","12","0","0","5","1","0"
"29","Pablo \u00cdniguez","20","D","219","3","3","0","0","10","0","0","0","0","1"
"37","Albert Blazquez","22","D","0","0","0","0","0","3","0","0","0","0","0"
"","Diego Jimenez","23","D","0","0","0","0","0","1","0","0","0","0","0"
"4","Pina","27","M","1998","35","21","14","9","14","2","0","7","0","0"
"10","Cani","33","M","2011","26","24","2","8","2","3","6","4","0","0"
"11","H. Perez","25","M","686","13","9","4","7","9","1","0","0","0","0"
"12","Joan Roman","21","M","91","2","1","1","1","11","0","0","0","0","0"
"14","Trigueros","23","M","2084","35","23","12","13","14","2","2","6","0","0"
"17","J. Aquino","24","M","1834","32","18","14","8","14","1","5","2","0","0"
"19","\u00d3liver Torres","19","M","506","9","6","3","5","4","0","1","2","0","0"
"21","Bruno","30","M","2983","36","35","1","5","1","6","2","6","1","0"
"27","Moi G\u00f3mez","20","M","1249","19","15","4","8","9","2","3","0","0","0"
"28","Edu Ramos","22","M","135","3","2","1","2","1","0","0","0","0","0"
"7","J. Perbet","29","A","1251","26","13","13","7","22","10","3","3","0","0"
"8","I. Uche","30","A","1740","30","19","11","9","14","14","1","4","1","0"
"9","G. dos Santos","25","A","2211","31","26","5","13","7","11","8","2","0","0"
"24","Jonathan Pereira","27","A","1404","30","15","15","13","23","4","5","3","0","0"
"33","Juanto","22","A","0","0","0","0","0","1","0","0","0","0","0"
"44","N. Leiva","17","A","195","5","2","3","1","8","0","1","0","0","0"
