"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","G. Curci","29","G","3330","37","37","0","0","1","0","0","2","0","0"
"16","M. Malagoli","19","G","0","0","0","0","0","15","0","0","0","0","0"
"25","F. Agliardi","31","G","0","0","0","0","0","21","0","0","0","0","0"
"32","D. Stojanovic","21","G","90","1","1","0","0","31","0","0","0","0","0"
"2","A. Masina","20","D","0","0","0","0","0","2","0","0","0","0","0"
"3","A. Morleo","31","D","2566","31","28","3","4","6","1","0","7","0","0"
"5","M. Antonsson","33","D","2956","34","32","2","2","6","0","0","3","0","0"
"6","F. Sorensen","22","D","1097","15","13","2","2","16","0","0","2","1","0"
"8","G. Garics","30","D","2774","34","32","2","7","4","1","2","7","0","0"
"14","C. Natali","35","D","2633","32","32","0","5","0","1","1","2","0","1"
"20","M. Abero","24","D","0","0","0","0","0","1","0","0","0","0","0"
"21","N. Cherubin","27","D","1132","15","14","1","7","5","1","0","4","0","0"
"22","A. Mantovani","30","D","1374","21","14","7","2","18","0","0","6","0","0"
"26","A. Ferrari","20","D","0","0","0","0","0","5","0","0","0","0","0"
"29","M. Maini","19","D","0","0","0","0","0","2","0","0","0","0","0"
"31","U. Radakovic","20","D","0","0","0","0","0","17","0","0","0","0","0"
"35","M. Cech","31","D","650","11","8","3","4","23","0","1","0","0","0"
"75","Jose Crespo","27","D","546","10","7","3","4","27","1","0","0","0","0"
"4","R. Krhin","24","M","2027","27","24","3","8","8","0","0","4","0","0"
"7","F. Della Rocca","27","M","513","9","6","3","3","13","0","0","3","0","0"
"11","E. Friberg","28","M","422","7","5","2","3","11","0","0","2","0","0"
"13","D. Laxalt","21","M","829","15","9","6","6","27","2","0","0","0","0"
"15","D. Perez","34","M","1560","27","18","9","11","14","0","0","10","0","0"
"19","L. Christodoulopoulos","27","M","1834","27","20","7","5","17","2","2","4","0","0"
"20","Ibson","30","M","369","10","2","8","2","13","0","0","2","0","0"
"24","M. Pazienza","32","M","1497","22","17","5","7","14","1","0","8","0","0"
"33","P. Kone","27","M","2381","28","28","0","3","1","5","1","13","1","0"
"9","R. Bianchi","31","A","1737","28","20","8","13","16","3","1","4","0","0"
"10","D. Moscardelli","34","A","810","17","7","10","2","28","1","1","5","0","0"
"11","D. Alibec","23","A","1","1","0","1","0","1","0","0","0","0","0"
"12","R. Acquafresca","27","A","739","19","6","13","2","28","0","0","2","0","0"
"18","F. Rodriguez","23","A","14","1","0","1","0","1","0","0","0","0","0"
"23","A. Diamanti","31","A","1688","19","19","0","2","1","5","2","9","0","0"
"41","A. Calabrese","18","A","0","0","0","0","0","1","0","0","0","0","0"
"77","H. Gimenez","28","A","0","0","0","0","0","5","0","0","0","0","0"
"88","D. Paponi","26","A","61","3","0","3","0","13","0","0","1","0","1"
"92","A. Yaisien","20","A","0","0","0","0","0","8","0","0","0","0","0"
"99","J. Cristaldo","25","A","1897","28","19","9","7","15","4","2","2","0","1"
