"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","C. Puggioni","33","G","2070","23","23","0","0","14","0","0","0","0","0"
"18","L. Squizzi","40","G","90","1","1","0","0","37","0","0","0","0","0"
"25","M. Agazzi","30","G","1260","14","14","0","0","3","0","0","0","0","0"
"28","M. Silvestri","23","G","0","0","0","0","0","21","0","0","0","0","0"
"96","S. Moschin","19","G","0","0","0","0","0","1","0","0","0","0","0"
"2","A. Bernardini","27","D","881","13","10","3","2","21","0","0","0","0","0"
"2","S. Aldrovandi","20","D","0","0","0","0","0","1","0","0","0","0","0"
"3","D. Dainelli","35","D","2250","26","26","0","2","0","2","1","6","0","0"
"4","Claiton","30","D","491","8","5","3","1","21","0","0","0","0","0"
"5","M. Canini","29","D","407","6","4","2","1","10","0","0","1","0","0"
"12","B. Cesar","32","D","2717","32","30","2","0","3","1","0","16","1","0"
"15","M. Pamic","28","D","196","3","2","1","1","17","0","0","0","0","0"
"17","G. Sardo","35","D","2195","30","24","6","5","10","1","3","6","0","1"
"21","N. Frey","30","D","2778","32","30","2","1","6","0","1","9","0","0"
"32","N. Brighenti","25","D","0","0","0","0","0","2","0","0","0","0","0"
"33","M. Rubin","27","D","568","9","6","3","2","8","0","1","1","0","0"
"33","P. Papp","24","D","393","6","4","2","0","14","0","0","1","0","0"
"36","F. Costa","19","D","0","0","0","0","0","2","0","0","0","0","0"
"93","B. Drame","29","D","2178","26","26","0","5","3","0","3","5","0","0"
"6","T. Kupisz","24","M","28","1","0","1","0","19","0","0","0","0","0"
"7","D. Lazarevic","24","M","535","14","3","11","2","33","1","1","1","0","0"
"8","I. Radovanovic","26","M","2348","33","26","7","10","11","0","0","5","0","0"
"9","S. Bentivoglio","29","M","1223","19","15","4","9","17","1","0","3","0","0"
"10","A. Sestu","31","M","605","12","8","4","7","12","0","1","3","0","0"
"11","R. Guana","33","M","598","8","8","0","4","3","0","0","5","0","0"
"14","A. Calello","27","M","4","1","0","1","0","12","0","0","0","0","0"
"16","R. Improta","20","M","96","3","1","2","1","10","0","0","0","0","0"
"19","L. Paredes","20","M","15","1","0","1","0","6","0","0","0","0","0"
"20","M. Estigarribia","27","M","931","16","12","4","11","7","0","1","2","0","0"
"22","B. Acosty","23","M","109","7","0","7","0","18","0","0","1","0","0"
"23","T. Guarente","29","M","668","10","8","2","4","7","0","2","1","0","0"
"24","M. Mbaye","19","M","6","1","0","1","0","6","0","0","0","0","0"
"27","L. Rigoni","29","M","2930","33","33","0","3","0","4","2","15","0","0"
"56","P. Hetemaj","27","M","2560","32","28","4","4","5","0","4","12","0","0"
"57","M. Troiani","18","M","0","0","0","0","0","2","0","0","0","0","0"
"95","Victor Da Silva","19","M","0","0","0","0","0","2","0","0","0","0","0"
"10","V. Obinna","27","A","397","10","4","6","4","11","2","0","0","0","0"
"11","M. Samassa","28","A","2","1","0","1","0","5","0","0","0","0","0"
"23","R. Inglese","22","A","0","0","0","0","0","1","0","0","0","0","0"
"31","S. Pellissier","35","A","773","22","5","17","2","29","1","0","4","1","1"
"39","A. Stoian","23","A","0","0","0","0","0","2","0","0","0","0","0"
"43","A. Paloschi","24","A","2524","34","29","5","12","8","13","3","4","0","0"
"77","C. Thereau","31","A","2370","32","28","4","13","6","7","1","2","0","0"
"90","M. Ardemagni","27","A","27","2","0","2","0","16","0","0","0","0","0"
