"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Neto","25","G","3150","35","35","0","0","0","0","0","2","0","0"
"12","C. Lupatelli","36","G","0","0","0","0","0","23","0","0","0","0","0"
"25","A. Rosati","31","G","270","3","3","0","0","16","0","0","0","0","0"
"78","G. Mun\u00faa","36","G","0","0","0","0","0","19","0","0","0","0","0"
"2","G. Rodriguez","30","D","2942","33","33","0","1","1","4","1","12","0","0"
"3","M. Diakite","27","D","753","9","9","0","1","5","0","0","2","1","0"
"3","Marcos Alonso","23","D","158","3","1","2","0","15","0","0","0","0","0"
"4","F. Roncaglia","27","D","1071","13","11","2","2","26","0","0","4","0","0"
"5","M. Compper","29","D","728","9","8","1","0","27","0","0","3","0","0"
"6","Ahmed Hegazi","23","D","90","1","1","0","0","2","0","0","0","0","0"
"15","S. Savic","23","D","2790","31","31","0","0","3","0","0","5","0","0"
"23","M. Pasqual","32","D","2180","26","26","0","5","8","0","4","5","0","0"
"34","L. Venuti","19","D","0","0","0","0","0","3","0","0","0","0","0"
"40","N. Tomovic","27","D","2025","25","23","2","4","10","0","1","5","0","0"
"7","D. Pizarro","35","M","2201","28","24","4","4","7","1","3","6","0","1"
"8","M. Bakic","21","M","71","3","1","2","1","29","0","0","0","0","0"
"10","A. Aquilani","30","M","2601","31","31","0","12","5","6","1","7","0","0"
"11","J. Cuadrado","26","M","2703","32","31","1","6","3","11","6","9","1","0"
"14","M. Fernandez","28","M","1307","23","12","11","5","20","3","3","1","0","0"
"17","Joaquin","33","M","1419","26","15","11","12","22","2","3","0","0","0"
"18","M. Vecino","23","M","144","6","1","5","1","15","0","1","0","0","0"
"20","Borja Valero","29","M","2752","32","31","1","6","2","6","9","4","0","1"
"21","M. Ambrosini","37","M","1319","21","16","5","5","13","0","1","7","0","0"
"27","R. Wolski","21","M","417","14","5","9","5","32","1","0","2","0","0"
"38","N. Fazzi","19","M","0","0","0","0","0","2","0","0","0","0","0"
"66","J. Vargas","31","M","1447","24","14","10","2","20","4","0","2","0","0"
"72","J. Ilicic","26","M","1105","21","13","8","11","18","3","1","1","0","0"
"77","O. Iakovenko","27","M","73","3","0","3","0","12","0","0","0","0","0"
"83","R. Olivera","31","M","0","1","0","1","0","6","0","0","0","0","0"
"88","Anderson","26","M","280","7","4","3","4","10","0","0","0","0","0"
"9","A. Rebic","21","A","92","4","0","4","0","18","1","0","1","0","0"
"30","Ryder Matos","21","A","617","23","5","18","5","31","0","0","4","0","0"
"32","A. Matri","30","A","854","15","10","5","6","8","4","2","2","0","0"
"33","M. G\u00f3mez","29","A","498","9","5","4","3","5","3","1","1","0","0"
"49","G. Rossi","27","A","1526","21","19","2","13","2","16","3","1","0","0"
