"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","M. Perin","21","G","3330","37","37","0","0","1","0","0","3","0","0"
"32","A. Donnarumma","24","G","0","0","0","0","0","23","0","0","0","0","0"
"38","L. Zima","20","G","0","0","0","0","0","3","0","0","0","0","0"
"53","A. Bizzarri","36","G","90","1","1","0","0","35","0","0","0","0","0"
"95","M. Albertoni","19","G","0","0","0","0","0","10","0","0","0","0","0"
"2","M. Sampirisi","22","D","206","4","3","1","2","16","0","0","1","1","0"
"3","L. Antonini","32","D","2151","26","25","1","5","6","2","0","3","0","0"
"4","S. De Maio","27","D","1441","23","15","8","1","22","2","0","6","0","0"
"5","A. Gamberini","33","D","580","10","7","3","4","16","0","0","1","0","0"
"8","N. Burdisso","33","D","1297","15","14","1","0","1","0","0","6","0","0"
"13","L. Antonelli","27","D","2583","30","30","0","7","2","3","1","5","0","0"
"15","G. Marchese","30","D","2123","27","23","4","4","7","0","2","3","0","0"
"20","S. Vrsaljko","22","D","1799","22","22","0","5","3","0","1","2","0","0"
"21","T. Manfredini","34","D","1249","15","15","0","0","0","0","0","7","1","1"
"29","P. De Ceglie","28","D","733","12","10","2","8","6","1","0","1","0","0"
"36","G. Lucarini","19","D","0","0","0","0","0","2","0","0","0","0","0"
"44","P. Sokoli","19","D","0","0","0","0","0","4","0","0","0","0","0"
"45","L. Gallotti","","D","0","0","0","0","0","1","0","0","0","0","0"
"46","F. Todisco","18","D","0","0","0","0","0","3","0","0","0","0","0"
"90","D. Portanova","35","D","1817","21","21","0","2","9","1","0","4","0","1"
"94","A. Blaze","20","D","0","0","0","0","0","5","0","0","0","0","0"
"8","D. Biondini","31","M","1361","16","15","1","1","3","1","2","1","0","0"
"10","F. Lodi","30","M","714","9","8","1","1","6","2","1","3","0","0"
"14","I. Cofie","23","M","911","17","7","10","2","28","1","0","5","0","0"
"17","M. Santana","32","M","303","6","4","2","4","7","0","0","0","0","0"
"18","I. Fetfatzidis","23","M","1340","31","11","20","8","25","2","3","1","0","0"
"21","M. Motta","28","M","968","13","11","2","3","7","0","0","2","0","0"
"25","J. Hromada","18","M","0","0","0","0","0","1","0","0","0","0","0"
"27","Matuzalem","34","M","1610","21","20","1","6","4","0","4","9","1","0"
"33","J. Kucka","27","M","794","11","9","2","3","3","2","0","2","0","0"
"58","G. Bennati","20","M","0","0","0","0","0","2","0","0","0","0","0"
"67","L. Tagliavacche","","M","0","0","0","0","0","2","0","0","0","0","0"
"69","S. Sturaro","21","M","1114","16","13","3","3","17","1","2","7","0","0"
"71","E. Di Santantonio","19","M","0","0","0","0","0","2","0","0","0","0","0"
"78","D. T\u0151zser","29","M","0","0","0","0","0","5","0","0","0","0","0"
"79","Cabral","26","M","380","7","4","3","1","15","0","2","1","0","0"
"91","A. Bertolacci","23","M","1962","25","23","2","11","11","2","1","7","0","0"
"96","F. Di Marco","","M","0","0","0","0","0","2","0","0","0","0","0"
"99","Z. Pierre","21","M","0","0","0","0","0","3","0","0","0","0","0"
"9","A. Stoian","23","A","171","7","0","7","1","18","0","0","1","0","0"
"10","G. Sculli","33","A","696","10","9","1","7","5","0","1","4","0","0"
"11","A. Gilardino","32","A","2936","36","34","2","7","2","15","1","8","0","0"
"16","E. Calai\u00f2","32","A","939","22","8","14","3","21","3","0","1","0","0"
"17","O. Held","20","A","0","0","0","0","0","1","0","0","0","0","0"
"23","T. Velocci","19","A","0","0","0","0","0","2","0","0","0","0","0"
"26","R. Centuri\u00f3n","21","A","583","12","5","7","3","28","0","0","0","0","0"
"77","M. Konate","21","A","1206","25","13","12","8","25","1","2","3","0","0"
"83","A. Floro Flores","31","A","62","2","1","1","1","1","0","0","0","0","0"
"93","Jara Martinez","20","A","0","0","0","0","0","2","0","0","0","0","0"
