"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","G. Buffon","36","G","2867","33","33","0","1","4","0","0","0","0","1"
"30","M. Storari","37","G","514","6","5","1","0","33","0","0","0","0","0"
"34","Rubinho","32","G","37","1","0","1","0","30","0","0","0","0","0"
"35","G. Vannucchi","19","G","0","0","0","0","0","3","0","0","0","0","0"
"50","L. Citti","19","G","0","0","0","0","0","3","0","0","0","0","0"
"3","G. Chiellini","30","D","2775","31","31","0","1","2","3","3","5","0","0"
"4","M. Caceres","27","D","1314","17","14","3","0","18","0","0","1","0","0"
"5","A. Ogbonna","26","D","1260","16","14","2","1","20","0","0","4","1","0"
"11","P. De Ceglie","28","D","217","4","2","2","1","16","0","0","0","0","0"
"13","F. Peluso","30","D","339","9","4","5","2","30","1","1","2","0","0"
"15","A. Barzagli","33","D","2289","26","26","0","3","2","0","0","3","0","0"
"19","L. Bonucci","27","D","2536","29","28","1","0","7","2","3","8","0","0"
"26","S. Lichtsteiner","30","D","2120","27","24","3","9","6","2","8","4","0","0"
"39","F. Romagna","17","D","0","0","0","0","0","1","0","0","0","0","0"
"46","F. Penna","19","D","0","0","0","0","0","2","0","0","0","0","0"
"6","P. Pogba","21","M","3067","36","33","3","3","4","7","7","4","0","0"
"7","S. Pepe","31","M","16","2","0","2","0","11","0","0","0","0","0"
"8","C. Marchisio","28","M","1987","29","21","8","3","11","4","1","5","0","0"
"16","M. Motta","28","M","23","2","0","2","0","16","0","0","1","0","0"
"17","L. Marrone","24","M","0","0","0","0","0","1","0","0","0","0","0"
"20","S. Padoin","30","M","726","21","8","13","4","30","1","0","1","0","0"
"21","A. Pirlo","35","M","2466","30","29","1","7","5","4","6","4","0","0"
"22","K. Asamoah","25","M","2760","34","32","2","8","5","2","3","6","0","0"
"23","A. Vidal","27","M","2443","32","28","4","10","6","11","5","8","0","0"
"24","O. Bouy","21","M","0","0","0","0","0","1","0","0","0","0","0"
"33","M. Isla","26","M","962","18","10","8","4","25","0","2","1","0","0"
"38","F. Mattiello","19","M","0","0","0","0","0","2","0","0","0","0","0"
"39","V. Slivka","19","M","0","0","0","0","0","1","0","0","0","0","0"
"42","M. Gerbaudo","19","M","0","0","0","0","0","1","0","0","0","0","0"
"9","M. Vucinic","31","A","399","12","4","8","4","17","2","0","2","0","0"
"10","C. Tevez","30","A","2603","34","30","4","18","6","19","7","4","0","0"
"12","S. Giovinco","27","A","564","17","6","11","6","27","2","1","2","0","0"
"14","Llorente","29","A","2500","34","29","5","18","9","16","5","3","0","0"
"18","P. Osvaldo","28","A","371","11","4","7","4","12","1","1","1","0","0"
"27","F. Quagliarella","31","A","392","17","3","14","3","29","1","0","1","0","0"
"32","A. Matri","30","A","0","0","0","0","0","1","0","0","0","0","0"
"40","Y. Bnou-Marzouk","18","A","0","0","0","0","0","1","0","0","0","0","0"
