"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","F. Bardi","21","G","3150","35","35","0","0","2","0","0","4","0","0"
"22","L. Anania","34","G","263","3","3","0","1","33","0","0","0","0","0"
"37","G. Aldegani","38","G","7","1","0","1","0","32","0","0","0","0","0"
"90","L. Mazzoni","30","G","0","0","0","0","0","2","0","0","0","0","0"
"96","M. Cipriani","18","G","0","0","0","0","0","1","0","0","0","0","0"
"2","C. Piccini","22","D","906","20","7","13","2","26","0","1","2","0","0"
"3","G. Gemiti","33","D","580","10","8","2","6","26","0","1","1","0","0"
"4","A. Bernardini","27","D","0","0","0","0","0","1","0","0","0","0","0"
"5","S. Decarli","22","D","0","0","0","0","0","14","0","0","0","0","0"
"7","P. Castellini","35","D","1071","15","13","2","4","4","0","0","4","0","0"
"11","D. Mesbah","30","D","1227","14","14","0","1","2","1","1","4","0","0"
"11","A. Lambrughi","27","D","194","6","2","4","1","17","0","0","0","0","0"
"15","I. Mbaye","19","D","1946","25","22","3","8","7","2","1","7","1","0"
"17","F. Ceccherini","22","D","2711","32","32","0","9","3","0","0","4","1","0"
"23","Emerson","34","D","2569","31","30","1","4","6","2","0","7","0","0"
"33","N. Valentini","26","D","1137","16","12","4","2","26","0","0","1","0","0"
"77","L. Rinaudo","31","D","1443","21","15","6","2","18","1","0","8","0","0"
"85","A. Coda","29","D","1867","23","21","2","2","12","0","1","11","0","0"
"95","A. Tiritiello","19","D","0","0","0","0","0","7","0","0","0","0","0"
"7","L. Belingheri","31","M","128","4","1","3","1","15","0","0","0","0","0"
"10","A. Luci","29","M","1897","22","22","0","2","1","1","0","6","0","0"
"14","Jonny Mosquera","23","M","254","7","2","5","0","32","0","0","1","0","0"
"16","D. Bartolini","19","M","21","1","0","1","0","11","0","0","0","0","0"
"19","L. Greco","28","M","2409","32","29","3","14","4","4","3","13","0","0"
"24","M. Benassi","20","M","1534","20","17","3","5","19","2","3","4","0","1"
"27","M. Biagianti","30","M","1963","26","24","2","10","7","0","1","4","0","0"
"28","P. Schiattarella","27","M","1470","17","17","0","3","0","0","3","8","0","0"
"41","A. Duncan","21","M","1808","32","19","13","8","17","0","0","6","0","0"
"","L. Simonetti","18","M","0","0","0","0","0","1","0","0","0","0","0"
"8","F. Dionisi","27","A","31","1","0","1","0","2","0","0","0","0","0"
"9","Paulinho","28","A","3144","35","35","0","2","1","15","3","8","0","0"
"18","E. Bruzzi","19","A","11","1","0","1","0","4","0","0","0","0","0"
"20","I. Emeghara","25","A","1583","30","17","13","14","15","4","5","4","1","0"
"21","I. Belfodil","22","A","830","17","8","9","4","9","0","0","1","0","0"
"26","L. Siligardi","26","A","1305","26","13","13","8","15","5","1","1","0","0"
"29","M. Borja","21","A","142","8","0","8","0","33","0","0","1","1","0"
"32","T. Biasci","19","A","0","0","0","0","0","4","0","0","0","0","0"
