"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Angelo Da Costa","30","G","2970","33","33","0","0","5","0","0","1","0","0"
"30","V. Fiorillo","24","G","450","5","5","0","0","31","0","0","0","0","0"
"92","A. Tozzo","22","G","0","0","0","0","0","6","0","0","0","0","0"
"95","W. Falcone","19","G","0","0","0","0","0","9","0","0","0","0","0"
"3","A. Costa","28","D","1610","20","18","2","3","16","0","1","10","1","0"
"4","B. Salamon","23","D","76","2","1","1","1","25","0","0","0","0","0"
"7","P. Castellini","35","D","7","1","0","1","0","9","0","0","0","0","1"
"8","S. Mustafi","22","D","2836","33","32","1","1","3","1","1","8","0","1"
"13","G. Berardi","26","D","323","5","4","1","2","18","0","0","2","0","0"
"19","V. Regini","24","D","2366","29","26","3","2","9","0","3","7","1","0"
"28","D. Gastaldello","31","D","2635","32","31","1","5","3","2","0","9","1","0"
"29","L. De Silvestri","26","D","3086","35","35","0","4","2","2","2","8","0","0"
"32","S. Dejori","19","D","0","0","0","0","0","1","0","0","0","0","0"
"35","S. Poulsen","30","D","0","0","0","0","0","5","0","0","0","0","0"
"44","M. Fornasier","21","D","517","10","4","6","0","27","0","0","0","0","0"
"5","Renan","28","M","699","18","6","12","3","31","2","0","1","0","0"
"6","M. Rodriguez","28","M","6","2","0","2","0","32","0","0","0","0","0"
"10","N. Krsticic","24","M","2307","32","26","6","13","6","1","0","9","0","1"
"14","Pedro Obiang","22","M","2119","27","24","3","4","7","0","0","7","0","0"
"15","P. Wszo\u0142ek","22","M","753","19","10","9","10","26","1","0","4","0","0"
"17","A. Palombo","33","M","2700","32","32","0","8","4","1","2","5","0","0"
"20","A. Barill\u00e0","26","M","104","3","1","2","1","5","0","0","1","1","0"
"21","R. Soriano","23","M","1933","29","21","8","6","14","5","1","5","1","0"
"22","B. Bjarnason","26","M","694","14","8","6","4","26","0","1","1","0","0"
"25","E. Maresca","34","M","0","1","0","1","0","7","0","0","0","0","0"
"27","M. Eramo","25","M","72","1","1","0","1","11","0","0","1","0","0"
"31","M. Lombardo","19","M","6","1","0","1","0","6","0","0","0","0","0"
"33","S. Gentsoglou","24","M","282","5","3","2","1","10","0","0","1","0","0"
"34","G. Fenati","19","M","0","0","0","0","0","1","0","0","0","0","0"
"77","A. Sestu","31","M","36","2","0","2","0","13","0","0","0","0","0"
"79","D. Gavazzi","28","M","505","7","6","1","4","9","0","0","1","0","0"
"7","M. L\u00f3pez","30","A","564","11","6","5","3","8","1","0","1","1","0"
"9","N. Pozzi","28","A","510","14","5","9","5","16","2","3","2","0","0"
"9","S. Okaka","25","A","866","13","9","4","3","7","5","3","4","0","0"
"11","M. Gabbiadini","22","A","2732","34","32","2","10","2","8","3","6","0","0"
"12","G. Sansone","27","A","1062","24","9","15","5","24","3","1","2","0","0"
"23","Eder","27","A","2508","33","30","3","13","3","12","6","8","1","0"
"33","E. Oneto","18","A","0","0","0","0","0","1","0","0","0","0","0"
"35","A. Corsini","18","A","0","0","0","0","0","1","0","0","0","0","0"
"37","A. Petagna","19","A","49","3","0","3","0","11","0","0","1","0","0"
