"","A","D","M"
"Ajaccio",1.48665707659337,3.49176525849162,5.02157766491501
"Bastia",1.54735949612403,3.96802325581395,4.48461724806201
"Bordeaux",2.31081438781212,4.05723361077615,3.63195200141172
"Evian TG",2.02147320249934,4.47915749948664,3.49936929801402
"Guingamp",1.86597817157611,3.70995188358174,4.42406994484215
"Lille",2.5535541124269,4.03690752549146,3.40953836208163
"Lorient",2.58064516129032,4.71854985604325,2.70080498266643
"Monaco",1.66637426900585,4,4.33362573099415
"Montpellier",2.29533327437281,3.96686418442853,3.73780254119867
"Nantes",1.99871126471794,3.88524398102044,4.11604475426161
"Nice",1.86641679599426,3.2473426839624,4.88624052004334
"Olympique Lyonnais",2.04817153767073,3.65222499632839,4.29960346600088
"Olympique Marseille",2.57163742690059,4.02719298245614,3.40116959064328
"PSG",2.10509358249612,3.99753961512551,3.89736680237837
"Reims",3.06373767806476,4.00854125837307,2.92772106356217
"Rennes",1.75818048422597,4.00763022743947,4.23418928833456
"Saint-i‰tienne",1.64171853651131,3.98451495369668,4.37376650979201
"Sochaux",2.29742807706971,4.43883984867591,3.26373207425438
"Toulouse",1.89995883079457,4.95706640004705,3.14297476915838
"Valenciennes",1.6174793062096,4.76059551317675,3.62192518061365
