"","A","D","M"
"Arsenal",1.856928992867,4.04056711773857,4.10250388939443
"Aston Villa",2.58515336680985,3.73011071450178,3.68473591868837
"Cardiff City",1.85688138395229,3.56468087618823,4.57843773985948
"Chelsea",1.67754397260675,4.15200913108373,4.17044689630952
"Crystal Palace",1.62937144865562,4.24111065549763,4.12951789584676
"Everton",2.24321790590027,4.07599460948028,3.68078748461944
"Fulham",1.64572343073914,3.64619761721297,4.70807895204789
"Hull City",2.1195652173913,3.67704395085066,4.20339083175803
"Liverpool",1.64307440336921,4.06235376696303,4.29457182966776
"Manchester City",1.64566236811254,3.96570926143025,4.38862837045721
"Manchester United",2.58551455286221,3.98452384441774,3.42996160272005
"Newcastle United",2.52130281167424,4.10498500638342,3.37371218194234
"Norwich City",1.48888823822212,4.07197025151524,4.43914151026264
"Southampton",1.9359649122807,3.98362573099415,4.08040935672515
"Stoke City",2.93685324553152,4.21478127939793,2.84836547507056
"Sunderland",1.68015402665383,3.9448271712644,4.37501880208177
"Swansea City",1.03039549348668,4.08168055392559,4.88792395258772
"Tottenham Hotspur",1.46605164967535,3.98625025707319,4.54769809325146
"West Bromwich Albion",1.61374269005848,3.8906432748538,4.49561403508772
"West Ham United",0.99878088668193,4.0474562159912,4.95376289732687
