"","A","D","M"
"Almeri­a",1.52101851036991,4.12537768781718,4.3536038018129
"Athletic Club",2.6013691416535,3.06652624188169,4.33210461646481
"Atletico Madrid",1.81461988304094,4.00175438596491,4.18362573099415
"Barcelona",2.75067275067275,3.25991575991576,3.98941148941149
"Celta de Vigo",1.84161900571931,3.92843525443613,4.22994573984455
"Elche",1.9692082111437,3.94692082111437,4.08387096774194
"Espanyol",2.64997652030993,4.22781169288565,3.12221178680441
"Getafe",1.061381826742,3.9924670433145,4.9461511299435
"Granada",1.27788569074107,4.06027429513214,4.66184001412679
"Levante",1.8515799365676,4.38124045577352,3.76717960765887
"Malaga",2.20146294174672,4.30921535795071,3.48932170030258
"Osasuna",1.28674088472639,4.54615067444189,4.16710844083171
"Rayo Vallecano",3.78656826568266,3.60354243542435,2.60988929889299
"Real Betis",1.87821156458567,4.02693284507708,4.09485559033725
"Real Madrid",1.89991791744841,4.03113273921201,4.06894934333959
"Real Sociedad",2.85187461585741,4.02464366201305,3.12348172212954
"Real Valladolid",1.4792466094496,4.44711327221067,4.07364011833973
"Sevilla",1.69594752869524,4.50866713516046,3.7953853361443
"Valencia",2.51720603309416,3.31908039244399,4.16371357446185
"Villarreal",1.99624291878247,4.01860929290557,3.98514778831196
