"","A","D","M"
"Atalanta",1.62070988559695,3.63332355529481,4.74596655910824
"Bologna",2.03682528513208,4.61137009997948,3.35180461488844
"Cagliari",2.28642699926632,3.87439471753485,3.83917828319883
"Catania",1.33256732072359,4.16151081256261,4.50592186671381
"Chievo",1.80250273644351,4.45345087714108,3.74404638641541
"Fiorentina",1.04996633785089,3.7283025495419,5.22173111260721
"Genoa",1.93746510329425,4.69570072585148,3.36683417085427
"Hellas Verona",2.17526468604276,3.88831862040649,3.93641669355075
"Internazionale",1.55955997286696,4.99660836995311,3.44383165717993
"Juventus",2.00093761903367,3.76512643206657,4.23393594889976
"Lazio",1.4426836797695,3.06794460941405,5.48937171081645
"Livorno",2.06137912875574,4.57885960036278,3.35976127088148
"Milan",1.65594996917114,3.99571332100179,4.34833670982706
"Napoli",3.3837495603236,3.08652831516004,3.52972212451636
"Parma",2.62595644496763,4.15538552089464,3.21865803413773
"Roma",2.28702316976478,3.91683552109946,3.79614130913576
"Sampdoria",2.44118599652563,3.96195860200807,3.5968554014663
"Sassuolo",2.53894354649801,4.44747013352073,3.01358631998126
"Torino",1.22502121185523,4.76111062348225,4.01386816466251
"Udinese",1.5786543195405,3.94062829679991,4.48071738365959
